# Coffey--Evans problem, beta = 30 (default)
# Reference eigenvalues of the Sturm-Liouville problem
#     -y'' + q(x) y = lambda y,   y(a) = y(b) = 0
#     q(x) = -2*beta*cos(2x) + beta^2*sin(2x)^2,  beta = 30
#     [a, b] = [-1.5707963267949, 1.5707963267949]
#
# METHOD
#   MATSLISE 2, CP methods: piecewise constant reference potential plus
#   perturbation corrections, on an automatically constructed mesh.  The
#   requested input tolerance was 1e-12.
#   MATSLISE directory: /home/vitek/Documents/Science/Work/Articles_in_progress/Discrete sine transform and eigenvalues/MATSLISE2
#
# SOFTWARE REFERENCE (Chicago style)
#   Ledoux, Veerle, and Marnix Van Daele. "Matslise 2.0: A Matlab Toolbox
#     for Sturm-Liouville Computations." ACM Transactions on Mathematical
#     Software 42, no. 4 (2016): 29:1-29:18.
#     https://doi.org/10.1145/2839299.
#   Ledoux, Veerle, Marnix Van Daele, and Guido Vanden Berghe. "MATSLISE:
#     A MATLAB Package for the Numerical Solution of Sturm-Liouville and
#     Schrodinger Equations." ACM Transactions on Mathematical Software 31,
#     no. 4 (2005): 532-554. https://doi.org/10.1145/1114268.1114273.
#   Ledoux, Veerle, and Marnix Van Daele. MATSLISE. Version 2. MATLAB
#     package. SourceForge, 2015. https://sourceforge.net/projects/matslise/.
#
# COMMAND
#   The potentials are the function handles used by the solvers in ../src,
#   so the reference matches the methods under test exactly.
#     addpath(genpath(fullfile(matslise_dir, 'source')));
#     addpath(fullfile(root, 'src'));
#     one = @(x) ones(size(x));
#     o   = slp(one, @q_coffey_evans, one, -pi/2, pi/2, 1, 0, 1, 0);
#     E   = computeEigenvalues(o, 0, 499, 1e-12, true);
#   Run in full, from this directory, by:
#     matlab -batch "generate_matslise_reference(500, 1e-12)"
#
# TIMING
#   WALL_CLOCK = 0.227644 s
#   WALL_CLOCK_PER_EIGENVALUE = 0.000455288 s
#   Wall clock for the computeEigenvalues call above, mesh construction
#   included; one call returning all 500 eigenvalues.  A throwaway call
#   precedes the timed ones, so this excludes JIT compilation and class
#   loading (warm start).
#
# ENVIRONMENT
#   MATLAB 26.1.0.3203278 (R2026a) on GLNXA64
#
# COLUMNS
#   k                index counting from one (convention of the article)
#   matslise_index   index counting from zero, as returned by MATSLISE
#   eigenvalue       lambda_k
#   estimated_error  MATSLISE error estimate for that eigenvalue
#   status           MATSLISE status flag, 0 = correct calculation
#
k,matslise_index,eigenvalue,estimated_error,status
1,0,-4.23839121328424e-11,-4.545178e-11,0
2,1,117.946307662123,6.944845e-11,0
3,2,231.664929237213,8.645884e-11,0
4,3,231.664929313014,2.220446e-16,0
5,4,231.664929388881,8.614620e-11,0
6,5,340.888299809744,1.298872e-10,0
7,6,445.283089582517,3.876721e-11,0
8,7,445.28317230675,-1.705303e-13,0
9,8,445.283255031412,9.475798e-11,0
10,9,544.41838514944,7.992185e-11,0
11,10,637.682249874116,6.923528e-11,0
12,11,637.704362341736,7.935341e-11,0
13,12,637.72650231858,6.809842e-11,0
14,13,724.257681350074,4.320100e-11,0
15,14,800.831312181741,3.115019e-11,0
16,15,802.478798692686,6.195933e-11,0
17,16,804.279305168884,2.341949e-11,0
18,17,868.960222870826,-5.911716e-12,0
19,18,909.481046507479,6.582468e-11,0
20,19,925.977309834808,3.597052e-10,0
21,20,951.878806796599,8.526513e-12,0
22,21,992.537296730791,7.958079e-13,0
23,22,1032.30248263793,-3.547029e-11,0
24,23,1073.45003143578,-3.569767e-11,0
25,24,1118.14472420373,-1.068656e-11,0
26,25,1165.66802470502,-5.456968e-11,0
27,26,1215.55909200148,-3.501555e-11,0
28,27,1267.80872631756,-1.807621e-10,0
29,28,1322.38489102766,-6.616574e-11,0
30,29,1379.22802645034,-1.173248e-10,0
31,30,1438.29524464083,2.864908e-11,0
32,31,1499.55521029387,-9.322321e-11,0
33,32,1562.98195897948,-1.459739e-10,0
34,33,1628.55383285542,-5.525180e-11,0
35,34,1696.25279910376,-1.268745e-10,0
36,35,1766.06368975074,-1.659828e-11,0
37,36,1837.97362966544,-1.327862e-10,0
38,37,1911.97161380416,-1.577973e-10,0
39,38,1988.04817696162,-2.569323e-10,0
40,39,2066.19513195873,-1.987246e-10,0
41,40,2146.40536053984,-1.091394e-11,0
42,41,2228.67264470179,-4.411049e-11,0
43,42,2312.99152937865,-1.195986e-10,0
44,43,2399.35720975122,-1.582521e-10,0
45,44,2487.76543809411,-1.155058e-10,0
46,45,2578.21244626104,-4.911271e-11,0
47,46,2670.69488079053,2.220446e-16,0
48,47,2765.209748273,-2.910383e-11,0
49,48,2861.75436911889,1.409717e-11,0
50,49,2960.32633824726,-8.230927e-11,0
51,50,3060.92349151145,2.773959e-11,0
52,51,3163.54387690158,4.092726e-11,0
53,52,3268.18572975141,6.366463e-11,0
54,53,3374.84745131072,-6.866685e-11,0
55,54,3483.52759016489,-1.591616e-11,0
56,55,3594.22482606772,-1.409717e-11,0
57,56,3706.93795583381,1.291482e-10,0
58,57,3821.6658809885,8.412826e-11,0
59,58,3938.40759692947,-8.049028e-11,0
60,59,4057.16218338719,-2.319211e-11,0
61,60,4177.92879600725,-4.729372e-11,0
62,61,4300.70665890764,2.737579e-10,0
63,62,4425.49505807749,9.276846e-11,0
64,63,4552.29333551669,1.355147e-10,0
65,64,4681.10088401282,2.220446e-16,0
66,65,4811.91714248545,-1.091394e-11,0
67,66,4944.7415918217,1.764420e-10,0
68,67,5079.57375114697,1.673470e-10,0
69,68,5216.41317448019,1.564331e-10,0
70,69,5355.25944772543,-3.547029e-11,0
71,70,5496.11218596518,5.456968e-12,0
72,71,5638.97103101716,2.182787e-11,0
73,72,5783.83564922953,2.637535e-11,0
74,73,5930.70572948542,1.227818e-10,0
75,74,6079.58098139464,2.273737e-11,0
76,75,6230.46113365449,-9.094947e-13,0
77,76,6383.34593255881,1.055014e-10,0
78,77,6538.23514064219,5.820766e-11,0
79,78,6695.1285354458,4.365575e-11,0
80,79,6854.02590839017,1.909939e-11,0
81,80,7014.92706374684,-1.637090e-11,0
82,81,7177.83181769768,2.910383e-11,0
83,82,7342.73999747366,2.910383e-11,0
84,83,7509.65144056608,6.366463e-11,0
85,84,7678.56599400226,-1.455192e-11,0
86,85,7849.48351368111,-2.273737e-11,0
87,86,8022.40386376125,-2.910383e-11,0
88,87,8197.32691609902,2.710294e-10,0
89,88,8374.25254972856,2.546585e-11,0
90,89,8553.18065038676,1.200533e-10,0
91,90,8734.11111006885,-1.637090e-11,0
92,91,8917.0438266238,5.693437e-10,0
93,92,9101.97870337298,3.637979e-12,0
94,93,9288.91564876781,5.093170e-11,0
95,94,9477.8545760605,2.910383e-11,0
