# Paine problem 1
# Reference eigenvalues of the Sturm-Liouville problem
#     -y'' + q(x) y = lambda y,   y(a) = y(b) = 0
#     q(x) = exp(x)
#     [a, b] = [0, 3.14159265358979]
#
# METHOD
#   MATSLISE 2, CP methods: piecewise constant reference potential plus
#   perturbation corrections, on an automatically constructed mesh.  The
#   requested input tolerance was 1e-12.
#   MATSLISE directory: /home/vitek/Documents/Science/Work/Articles_in_progress/Discrete sine transform and eigenvalues/MATSLISE2
#
# SOFTWARE REFERENCE (Chicago style)
#   Ledoux, Veerle, and Marnix Van Daele. "Matslise 2.0: A Matlab Toolbox
#     for Sturm-Liouville Computations." ACM Transactions on Mathematical
#     Software 42, no. 4 (2016): 29:1-29:18.
#     https://doi.org/10.1145/2839299.
#   Ledoux, Veerle, Marnix Van Daele, and Guido Vanden Berghe. "MATSLISE:
#     A MATLAB Package for the Numerical Solution of Sturm-Liouville and
#     Schrodinger Equations." ACM Transactions on Mathematical Software 31,
#     no. 4 (2005): 532-554. https://doi.org/10.1145/1114268.1114273.
#   Ledoux, Veerle, and Marnix Van Daele. MATSLISE. Version 2. MATLAB
#     package. SourceForge, 2015. https://sourceforge.net/projects/matslise/.
#
# COMMAND
#   The potentials are the function handles used by the solvers in ../src,
#   so the reference matches the methods under test exactly.
#     addpath(genpath(fullfile(matslise_dir, 'source')));
#     addpath(fullfile(root, 'src'));
#     one = @(x) ones(size(x));
#     o   = slp(one, @q_paine, one, 0, pi, 1, 0, 1, 0);
#     E   = computeEigenvalues(o, 0, 499, 1e-12, true);
#   Run in full, from this directory, by:
#     matlab -batch "generate_matslise_reference(500, 1e-12)"
#
# TIMING
#   WALL_CLOCK = 0.154234 s
#   WALL_CLOCK_PER_EIGENVALUE = 0.000308468 s
#   Wall clock for the computeEigenvalues call above, mesh construction
#   included; one call returning all 500 eigenvalues.  A throwaway call
#   precedes the timed ones, so this excludes JIT compilation and class
#   loading (warm start).
#
# ENVIRONMENT
#   MATLAB 26.1.0.3203278 (R2026a) on GLNXA64
#
# COLUMNS
#   k                index counting from one (convention of the article)
#   matslise_index   index counting from zero, as returned by MATSLISE
#   eigenvalue       lambda_k
#   estimated_error  MATSLISE error estimate for that eigenvalue
#   status           MATSLISE status flag, 0 = correct calculation
#
k,matslise_index,eigenvalue,estimated_error,status
1,0,4.89666937996706,-4.094503e-13,0
2,1,10.0451898932525,-1.151079e-12,0
3,2,16.0192672504925,4.156675e-13,0
4,3,23.2662709400247,2.369660e-12,0
5,4,32.2637070458075,3.076650e-12,0
6,5,43.2200196405548,2.062706e-11,0
7,6,56.1815940228558,8.029133e-12,0
8,7,71.1529975370532,-4.646949e-12,0
9,8,88.1321191915419,-4.220624e-12,0
10,9,107.116676138262,-6.068035e-12,0
11,10,128.105021273322,-1.170974e-11,0
12,11,151.096043745601,4.320100e-12,0
13,12,176.088996809441,-6.252776e-13,0
14,13,203.083371038612,-1.332978e-11,0
15,14,232.078811984846,-1.307399e-11,0
16,15,263.075067960122,-6.025402e-12,0
17,16,296.071956737438,-2.842171e-12,0
18,17,331.069343983119,7.162271e-12,0
19,18,368.067129023188,1.114131e-11,0
20,19,407.065235267347,7.446488e-12,0
21,20,448.063603645087,2.728484e-12,0
22,21,491.062188026509,-1.136868e-13,0
23,22,536.060951974814,-1.136868e-12,0
24,23,583.059866407824,-6.821210e-13,0
25,24,632.058907890136,-2.273737e-13,0
26,25,683.058057369459,-2.273737e-13,0
27,26,736.057299230226,2.220446e-16,0
28,27,791.056620576832,1.136868e-13,0
29,28,848.056010685096,1.136868e-13,0
30,29,907.055460578386,2.273737e-13,0
31,30,968.054962697094,2.387424e-12,0
32,31,1031.05451063871,2.220446e-16,0
33,32,1096.05409895185,2.220446e-16,0
34,33,1163.0537229717,2.220446e-16,0
35,34,1232.0533786878,2.273737e-13,0
36,35,1303.05306263698,2.220446e-16,0
37,36,1376.05277181615,-2.273737e-13,0
38,37,1451.05250361097,-2.273737e-13,0
39,38,1528.05225573694,-2.273737e-13,0
40,39,1607.05202619079,2.220446e-16,0
41,40,1688.05181320992,2.220446e-16,0
42,41,1771.05161523853,2.220446e-16,0
43,42,1856.05143089923,2.273737e-13,0
44,43,1943.05125896898,2.220446e-16,0
45,44,2032.05109835888,-2.273737e-13,0
46,45,2123.05094809683,2.220446e-16,0
47,46,2216.05080731286,2.220446e-16,0
48,47,2311.0506752265,1.818989e-12,0
49,48,2408.05055113599,-4.547474e-13,0
50,49,2507.0504344089,-4.547474e-13,0
51,50,2608.05032447411,2.220446e-16,0
52,51,2711.05022081481,2.220446e-16,0
