# Problem: coffey_evans (CDM, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 100, dofs = 100
# Computation time: 0.0044 s
n,lambda_n
1,-8.20726586644e-14
2,117.946307662
3,231.664929237
4,231.664929313
5,231.664929389
6,340.88829981
7,445.283089582
8,445.283172307
9,445.283255031
10,544.418385149
11,637.682249874
12,637.704362342
13,637.726502318
14,724.25768135
15,800.831312182
16,802.478798693
17,804.279305168
18,868.96022287
19,909.481046508
20,925.977309837
21,951.878806795
22,992.537296724
23,1032.30248264
24,1073.45003145
25,1118.14472419
26,1165.66802467
27,1215.55909202
28,1267.8087264
29,1322.38489098
30,1379.22802623
31,1438.29524478
32,1499.5552108
33,1562.98195874
34,1628.55383129
35,1696.25280033
36,1766.06369229
37,1837.97363013
38,1911.97159814
39,1988.04819658
40,2066.19512064
41,2146.40543064
42,2228.67237185
43,2312.992032
44,2399.35621161
45,2487.76792458
46,2578.20570082
47,2670.70844037
48,2765.17834479
49,2861.81910782
50,2960.1670941
51,3061.21570308
52,3162.85567008
53,3269.34507043
54,3372.0687976
55,3487.54559858
56,3584.90930462
57,3718.68581891
58,3797.96301606
59,3967.42628805
60,4019.80340849
61,4239.2783464
62,4269.79946149
63,4540.23427095
64,4558.8503466
65,4876.78288155
66,4889.19427312
67,5258.05522388
68,5267.61565984
69,5697.41360844
70,5705.13287221
71,6218.88903859
72,6225.76183408
73,6861.69281101
74,6867.31953114
75,7685.58473246
76,7690.71838797
77,8763.50225833
78,8767.73110767
79,10198.3647302
80,10202.7724929
81,12131.9581412
82,12135.8826618
83,14805.5770056
84,14810.3975044
85,18599.8847156
86,18604.4825952
87,24245.1376383
88,24251.7806439
89,33073.1672883
90,33079.9428529
91,48140.5535701
92,48152.5256558
93,76633.4852093
94,76647.0761258
95,142354.023794
96,142388.388295
97,347061.099391
98,347113.840608
99,1998162.88465
100,1998706.1315
