# Problem: coffey_evans (MBCDM, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 100, dofs = 100
# Computation time: 0.0056 s
n,lambda_n
1,4.50960026097e-13
2,117.946307662
3,231.646374051
4,231.646382627
5,231.664929313
6,340.88829981
7,445.26333911
8,445.263348365
9,445.283172652
10,544.418385149
11,637.67262428
12,637.688029532
13,637.719787954
14,724.257681086
15,800.826043749
16,802.467900564
17,804.273618118
18,868.95989554
19,909.478293475
20,925.972374131
21,951.874799855
22,992.534156765
23,1032.29934836
24,1073.44724253
25,1118.14260884
26,1165.66676891
27,1215.55889535
28,1267.80981599
29,1322.38751187
30,1379.23243968
31,1438.30173856
32,1499.56408757
33,1562.9935586
34,1628.56850453
35,1696.27093956
36,1766.08570125
37,1837.9999737
38,1912.00275096
39,1988.08464089
40,2066.23744781
41,2146.45414187
42,2228.72848815
43,2313.05513653
44,2399.42925653
45,2487.84672256
46,2578.30373244
47,2670.79707191
48,2765.3237066
49,2861.8811118
50,2960.46683751
51,3061.07888695
52,3163.71526442
53,3268.37437933
54,3375.05459862
55,3483.75464236
56,3594.47317772
57,3707.209156
58,3821.96150611
59,3938.72933946
60,4057.51182942
61,4178.30817796
62,4301.11780648
63,4425.9399328
64,4552.77425276
65,4681.61991258
66,4812.47693619
67,4945.3442888
68,5080.22241097
69,5217.10994319
70,5356.00787833
71,5496.914336
72,5639.83106392
73,5784.7553889
74,5931.69011145
75,6080.63136526
76,6231.58345747
77,6384.54079147
78,6539.5098301
79,6696.48219971
80,6855.46767652
81,7016.45464061
82,7179.45674809
83,7344.45501555
84,7511.46509635
85,7680.49117655
86,7851.48164706
87,8024.55597747
88,8199.08922782
89,8376.9604089
90,8553.37436556
91,8737.99006463
92,8903.37540268
93,9113.32296884
94,9255.15720836
95,9504.4439096
96,9571.56207931
97,10074.3880851
98,10212.0352008
99,15148.9993834
100,15161.0867982
