# Problem: coffey_evans (FD, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 500, dofs = 500
# Computation time: 0.0071 s
n,lambda_n
1,-0.00865528244014
2,117.905033377
3,231.563534395
4,231.626694695
5,231.626694695
6,340.705715455
7,445.005272593
8,445.11651594
9,445.116516001
10,544.038801613
11,637.222626996
12,637.36711826
13,637.3704499
14,723.695578792
15,800.316258431
16,802.014616892
17,803.71759516
18,868.383214534
19,909.040663006
20,925.418107841
21,951.076806904
22,991.655128687
23,1031.28118736
24,1072.23075105
25,1116.72068757
26,1164.02482662
27,1213.66884209
28,1265.64262149
29,1319.91315732
30,1376.41824532
31,1435.1124285
32,1495.96194057
33,1558.93831262
34,1624.01730304
35,1691.17823033
36,1760.40320954
37,1831.67657704
38,1904.98446662
39,1980.31447848
40,2057.65541681
41,2136.9970803
42,2218.33009318
43,2301.64576775
44,2386.93599156
45,2474.19313421
46,2563.40996987
47,2654.57961234
48,2747.69546053
49,2842.75115226
50,2939.74052503
51,3038.6575826
52,3139.49646623
53,3242.25143008
54,3346.91681984
55,3453.48705435
56,3561.95660954
57,3672.32000449
58,3784.57178924
59,3898.70653407
60,4014.71882018
61,4132.60323141
62,4252.35434697
63,4373.96673504
64,4497.43494706
65,4622.7535127
66,4749.91693541
67,4878.91968841
68,5009.75621121
69,5142.42090639
70,5276.90813687
71,5413.21222335
72,5551.32744207
73,5691.24802288
74,5832.96814738
75,5976.48194738
76,6121.78350345
77,6268.86684366
78,6417.72594244
79,6568.35471961
80,6720.74703942
81,6874.89670981
82,7030.79748167
83,7188.44304823
84,7347.82704453
85,7508.94304689
86,7671.78457255
87,7836.34507925
88,8002.61796498
89,8170.59656766
90,8340.27416496
91,8511.64397409
92,8684.69915167
93,8859.43279363
94,9035.83793508
95,9213.90755032
96,9393.63455277
97,9575.01179499
98,9758.03206868
99,9942.68810473
100,10128.9725733
101,10316.8780838
102,10506.3971853
103,10697.522366
104,10890.2460541
105,11084.5606176
106,11280.4583641
107,11477.9315417
108,11676.9723386
109,11877.5728835
110,12079.7252458
111,12283.4214357
112,12488.6534045
113,12695.4130448
114,12903.6921909
115,13113.4826187
116,13324.7760462
117,13537.5641335
118,13751.8384836
119,13967.5906418
120,14184.812097
121,14403.4942811
122,14623.6285696
123,14845.2062822
124,15068.2186826
125,15292.656979
126,15518.5123245
127,15745.7758172
128,15974.4385008
129,16204.4913646
130,16435.925344
131,16668.7313208
132,16902.9001234
133,17138.4225275
134,17375.2892559
135,17613.4909794
136,17853.0183165
137,18093.8618344
138,18336.012049
139,18579.4594252
140,18824.1943775
141,19070.20727
142,19317.4884172
143,19566.028084
144,19815.8164863
145,20066.8437911
146,20319.1001174
147,20572.5755357
148,20827.2600694
149,21083.1436944
150,21340.2163398
151,21598.4678882
152,21857.8881762
153,22118.4669947
154,22380.1940894
155,22643.0591608
156,22907.0518653
157,23172.1618148
158,23438.3785778
159,23705.6916792
160,23974.0906014
161,24243.5647839
162,24514.1036243
163,24785.6964786
164,25058.3326613
165,25332.0014463
166,25606.6920668
167,25882.3937162
168,26159.0955483
169,26436.7866775
170,26715.4561796
171,26995.0930921
172,27275.6864145
173,27557.2251089
174,27839.6981003
175,28123.0942771
176,28407.4024915
177,28692.6115599
178,28978.7102635
179,29265.6873486
180,29553.5315269
181,29842.2314764
182,30131.7758413
183,30422.1532327
184,30713.3522291
185,31005.3613768
186,31298.1691903
187,31591.7641527
188,31886.1347164
189,32181.2693032
190,32477.1563051
191,32773.7840843
192,33071.1409742
193,33369.2152796
194,33667.9952769
195,33967.4692151
196,34267.6253158
197,34568.4517739
198,34869.936758
199,35172.0684108
200,35474.8348497
201,35778.224167
202,36082.2244309
203,36386.8236853
204,36692.0099508
205,36997.7712248
206,37304.0954822
207,37610.9706759
208,37918.384737
209,38226.3255755
210,38534.7810809
211,38843.7391223
212,39153.187549
213,39463.1141913
214,39773.5068606
215,40084.35335
216,40395.6414348
217,40707.3588729
218,41019.4934054
219,41332.0327571
220,41644.9646368
221,41958.2767379
222,42271.9567388
223,42585.9923038
224,42900.3710827
225,43215.0807123
226,43530.1088162
227,43845.4430055
228,44161.0708792
229,44476.980025
230,44793.1580194
231,45109.5924283
232,45426.2708077
233,45743.1807038
234,46060.3096539
235,46377.6451866
236,46695.1748225
237,47012.8860743
238,47330.766448
239,47648.8034425
240,47966.9845509
241,48285.2972605
242,48603.7290534
243,48922.2674071
244,49240.8997949
245,49559.6136863
246,49878.3965478
247,50197.235843
248,50516.1190334
249,50835.0335788
250,51153.9669375
251,51472.9065675
252,51791.8399263
253,52110.7544715
254,52429.6376617
255,52748.4769568
256,53067.259818
257,53385.9737091
258,53704.6060966
259,54023.1444499
260,54341.5762423
261,54659.8889514
262,54978.0700593
263,55296.1070532
264,55613.9874262
265,55931.6986774
266,56249.2283124
267,56566.5638444
268,56883.6927936
269,57200.6026888
270,57517.2810672
271,57833.7154751
272,58149.8934684
273,58465.802613
274,58781.4304856
275,59096.7646736
276,59411.7927761
277,59726.5024043
278,60040.8811819
279,60354.9167453
280,60668.5967447
281,60981.9088441
282,61294.8407221
283,61607.380072
284,61919.5146027
285,62231.2320389
286,62542.5201217
287,62853.366609
288,63163.7592762
289,63473.6859163
290,63783.1343408
291,64092.0923798
292,64400.5478828
293,64708.4887188
294,65015.9027773
295,65322.7779683
296,65629.1022229
297,65934.863494
298,66240.0497565
299,66544.6490079
300,66848.6492686
301,67152.0385827
302,67454.8050182
303,67756.9366675
304,68058.421648
305,68359.2481025
306,68659.4041994
307,68958.8781337
308,69257.658127
309,69555.7324281
310,69853.0893138
311,70149.7170886
312,70445.6040858
313,70740.7386679
314,71035.1092268
315,71328.7041842
316,71621.5119926
317,71913.521135
318,72204.7201259
319,72495.0975117
320,72784.6418707
321,73073.3418142
322,73361.1859864
323,73648.1630651
324,73934.2617621
325,74219.4708238
326,74503.7790312
327,74787.1752008
328,75069.6481847
329,75351.1868715
330,75631.780186
331,75911.4170904
332,76190.0865841
333,76467.7777047
334,76744.4795278
335,77020.181168
336,77294.871779
337,77568.5405541
338,77841.1767267
339,78112.7695705
340,78383.3084001
341,78652.7825715
342,78921.1814821
343,79188.4945717
344,79454.7113224
345,79719.8212592
346,79983.8139505
347,80246.6790083
348,80508.4060889
349,80768.984893
350,81028.405166
351,81286.6566988
352,81543.7293281
353,81799.6129365
354,82054.297453
355,82307.7728535
356,82560.0291613
357,82811.0564471
358,83060.8448295
359,83309.3844758
360,83556.6656018
361,83802.6784723
362,84047.4134017
363,84290.8607542
364,84533.0109442
365,84773.8544367
366,85013.3817473
367,85251.5834433
368,85488.4501432
369,85723.9725177
370,85958.1412895
371,86190.9472343
372,86422.3811804
373,86652.4340096
374,86881.0966572
375,87108.3601126
376,87334.2154191
377,87558.653675
378,87781.6660331
379,88003.2437017
380,88223.3779444
381,88442.0600807
382,88659.2814861
383,88875.0335924
384,89089.3078882
385,89302.0959189
386,89513.3892872
387,89723.1796533
388,89931.4587348
389,90138.2183077
390,90343.450206
391,90547.146322
392,90749.298607
393,90949.899071
394,91148.9397831
395,91346.4128718
396,91542.3105252
397,91736.6249909
398,91929.3485765
399,92120.4736496
400,92309.992638
401,92497.8980296
402,92684.1823732
403,92868.8382778
404,93051.8584131
405,93233.2355096
406,93412.9623585
407,93591.0318119
408,93767.4367826
409,93942.1702443
410,94115.2252315
411,94286.5948395
412,94456.2722241
413,94624.2506018
414,94790.5232493
415,94955.0835035
416,95117.9247616
417,95279.04048
418,95438.4241749
419,95596.0694213
420,95751.9698526
421,95906.1191607
422,96058.5110947
423,96209.1394607
424,96357.9981208
425,96505.0809928
426,96650.3820485
427,96793.8953134
428,96935.6148651
429,97075.534832
430,97213.6493924
431,97349.952772
432,97484.4392427
433,97617.1031204
434,97747.9387625
435,97876.9405658
436,98004.1029631
437,98129.4204202
438,98252.8874323
439,98374.4985197
440,98494.2482236
441,98612.1311004
442,98728.1417161
443,98842.2746399
444,98954.5244361
445,99064.8856559
446,99173.3528277
447,99279.9204458
448,99384.5829581
449,99487.3347508
450,99588.1701324
451,99687.0833141
452,99784.0683872
453,99879.1192975
454,99972.2298146
455,100063.393497
456,100152.60365
457,100239.853277
458,100325.135019
459,100408.441089
460,100489.763183
461,100569.092382
462,100646.419029
463,100721.732574
464,100795.021387
465,100866.272523
466,100935.471423
467,101002.601531
468,101067.643767
469,101130.575987
470,101191.371548
471,101250.000114
472,101306.417984
473,101360.594013
474,101412.404903
475,101461.964692
476,101508.532806
477,101553.759154
478,101592.308041
479,101636.585026
480,101658.859906
481,101713.336547
482,101719.399905
483,101788.201878
484,101789.189135
485,101865.335338
486,101865.46911
487,101948.177933
488,101948.192679
489,102037.79472
490,102037.795958
491,102133.705141
492,102133.705218
493,102235.235134
494,102235.235137
495,102341.86222
496,102341.86222
497,102453.196432
498,102453.196432
499,102568.93536
500,102568.93536
