# Problem: coffey_evans (LGCC, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 100, dofs = 100
# Computation time: 0.7951 s
n,lambda_n
1,-1.58581695559e-12
2,117.946307662
3,231.664929237
4,231.664929313
5,231.664929389
6,340.88829981
7,445.283089582
8,445.283172307
9,445.283255031
10,544.418385149
11,637.682249874
12,637.704362342
13,637.726502319
14,724.25768135
15,800.831312182
16,802.478798693
17,804.279305169
18,868.960222871
19,909.481046507
20,925.977309835
21,951.878806797
22,992.537296731
23,1032.30248264
24,1073.45003144
25,1118.1447242
26,1165.66802471
27,1215.559092
28,1267.80872632
29,1322.38489103
30,1379.22802645
31,1438.29524464
32,1499.55521031
33,1562.98195898
34,1628.55383294
35,1696.2527991
36,1766.06369024
37,1837.97362965
38,1911.97161672
39,1988.0481771
40,2066.19514912
41,2146.40536227
42,2228.67274476
43,2312.99154667
44,2399.35777927
45,2487.76557909
46,2578.21557175
47,2670.69591518
48,2765.22603034
49,2861.76121419
50,2960.40542602
51,3060.96434223
52,3163.89419368
53,3268.4021939
54,3376.22491894
55,3484.52267997
56,3598.89660816
57,3710.79087323
58,3835.04597564
59,3950.67449494
60,4089.4550093
61,4209.9600464
62,4367.66404778
63,4495.78485565
64,4675.30923829
65,4815.98956911
66,5018.46185305
67,5180.61000627
68,5404.60411753
69,5605.55027642
70,5845.02977724
71,6116.65719351
72,6362.73957787
73,6751.54232558
74,7002.28519212
75,7559.92433684
76,7825.31008086
77,8606.96020399
78,8903.78439857
79,9983.04179579
80,10330.9079916
81,11822.4425162
82,12244.3321287
83,14336.565813
84,14862.1951724
85,17876.7282986
86,18548.5737178
87,23062.8684136
88,23947.2612884
89,31073.2241506
90,32282.9552234
91,44375.6483835
92,46121.7942287
93,68880.0245471
94,71609.815071
95,121836.528533
96,126687.08783
97,273156.714321
98,284061.404081
99,1090309.42359
100,1133898.25338
