# Problem: coffey_evans (Numerov, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 100, dofs = 100
# Computation time: 0.0037 s
n,lambda_n
1,-0.00156778297352
2,117.936053841
3,231.630973688
4,231.65577235
5,231.65577235
6,340.809656381
7,445.136685665
8,445.214309535
9,445.214309622
10,544.182791474
11,637.361606901
12,637.504916073
13,637.508283375
14,723.812596259
15,800.411936705
16,802.132372665
17,803.821975217
18,868.426764762
19,909.07897021
20,925.476583098
21,951.120999703
22,991.668931718
23,1031.26820573
24,1072.17083739
25,1116.5904278
26,1163.79950698
27,1213.3161737
28,1265.12265979
29,1319.17798406
30,1375.41043955
31,1433.76372973
32,1494.19195167
33,1556.65303631
34,1621.10755945
35,1687.5179721
36,1755.84772227
37,1826.06055981
38,1898.11999019
39,1971.98881824
40,2047.62875762
41,2125.00009076
42,2204.06136735
43,2284.76913268
44,2367.07767954
45,2450.93881913
46,2536.30166757
47,2623.11244579
48,2711.31429093
49,2800.84707831
50,2891.64725309
51,2983.64767151
52,3076.77745153
53,3170.96183292
54,3266.12204738
55,3362.17519892
56,3459.03415517
57,3556.60745018
58,3654.79919934
59,3753.50902693
60,3852.63200692
61,3952.05861723
62,4051.67470765
63,4151.36148123
64,4250.99548836
65,4350.4486325
66,4449.58818533
67,4548.27680822
68,4646.37257527
69,4743.72899138
70,4840.19499541
71,4935.61493558
72,5029.82849513
73,5122.67055084
74,5213.9708811
75,5303.55383605
76,5391.23719685
77,5476.83272181
78,5560.13821391
79,5640.95722939
80,5719.01608158
81,5794.22309802
82,5865.79116108
83,5934.90014162
84,5996.75480056
85,6062.33078212
86,6103.92630673
87,6179.552028
88,6193.74584409
89,6293.90161056
90,6296.40914671
91,6413.92818941
92,6414.25315939
93,6545.48103889
94,6545.51189759
95,6689.96200093
96,6689.96397082
97,6846.79045595
98,6846.79053223
99,7015.32751628
100,7015.32751765
