# Problem: coffey_evans (Numerov+AC, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 300, dofs = 300
# Computation time: 0.0656 s
n,lambda_n
1,-1.97300620185e-05
2,117.946178877
3,231.664503898
4,231.664814467
5,231.664815037
6,340.887319451
7,445.281346039
8,445.282324326
9,445.282344693
10,544.415508146
11,637.678981613
12,637.702030355
13,637.723413784
14,724.252558094
15,800.826734628
16,802.475346052
17,804.274829939
18,868.955360704
19,909.478436246
20,925.974311923
21,951.873745771
22,992.532258935
23,1032.29713291
24,1073.44383138
25,1118.13780799
26,1165.66050316
27,1215.55092255
28,1267.79987695
29,1322.37534865
30,1379.21777331
31,1438.28425936
32,1499.54347112
33,1562.96944377
34,1628.54051894
35,1696.23866338
36,1766.04870878
37,1837.95777973
38,1911.9548709
39,1988.03051687
40,2066.17653022
41,2146.3857925
42,2228.65208551
43,2312.96995397
44,2399.3345929
45,2487.74175437
46,2578.18767006
47,2670.66898632
48,2765.18270956
49,2861.72616001
50,2960.29693238
51,3060.89286235
52,3163.51199772
53,3268.15257361
54,3374.81299108
55,3483.49179851
56,3594.18767545
57,3706.89941848
58,3821.62592892
59,3938.36620195
60,4057.11931705
61,4177.88442964
62,4300.66076359
63,4425.44760464
64,4552.24429454
65,4681.05022582
66,4811.86483711
67,4944.68760904
68,5079.51806044
69,5216.35574503
70,5355.20024843
71,5496.0511854
72,5638.90819745
73,5783.7709506
74,5930.63913339
75,6079.51245509
76,6230.39064405
77,6383.2734462
78,6538.16062369
79,6695.05195368
80,6853.9472272
81,7014.84624811
82,7177.74883218
83,7342.65480621
84,7509.56400725
85,7678.47628187
86,7849.39148551
87,8022.30948184
88,8197.23014223
89,8374.1533452
90,8553.07897598
91,8734.00692601
92,8916.93709261
93,9101.86937851
94,9288.8036916
95,9477.73994452
96,9668.67805441
97,9861.61794263
98,10056.5595345
99,10253.5027589
100,10452.4475485
101,10653.3938389
102,10856.3415691
103,11061.2906808
104,11268.2411185
105,11477.1928291
106,11688.1457624
107,11901.0998699
108,12116.0551056
109,12333.0114256
110,12551.9687877
111,12772.9271516
112,12995.8864789
113,13220.8467326
114,13447.8078772
115,13676.769879
116,13907.7327052
117,14140.6963248
118,14375.6607077
119,14612.625825
120,14851.5916491
121,15092.5581533
122,15335.5253119
123,15580.4931001
124,15827.4614943
125,16076.4304714
126,16327.4000092
127,16580.3700863
128,16835.3406821
129,17092.3117766
130,17351.2833504
131,17612.2553849
132,17875.2278619
133,18140.2007638
134,18407.1740737
135,18676.1477748
136,18947.1218513
137,19220.0962874
138,19495.0710679
139,19772.0461781
140,20051.0216034
141,20331.9973299
142,20614.9733437
143,20899.9496314
144,21186.9261799
145,21475.9029763
146,21766.880008
147,22059.8572625
148,22354.8347279
149,22651.8123919
150,22950.790243
151,23251.7682696
152,23554.7464601
153,23859.7248032
154,24166.7032879
155,24475.6819029
156,24786.6606374
157,25099.6394805
158,25414.6184213
159,25731.5974491
