# Problem: paine (CDM, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 300, dofs = 300
# Computation time: 0.0167 s
n,lambda_n
1,4.89666937996
2,10.0451898933
3,16.0192672505
4,23.26627094
5,32.2637070458
6,43.2200196405
7,56.1815940228
8,71.1529975371
9,88.1321191915
10,107.116676138
11,128.105021273
12,151.096043746
13,176.088996809
14,203.083371039
15,232.078811985
16,263.07506796
17,296.071956737
18,331.069343983
19,368.067129023
20,407.065235267
21,448.063603645
22,491.062188027
23,536.060951975
24,583.059866408
25,632.05890789
26,683.058057369
27,736.05729923
28,791.056620577
29,848.056010685
30,907.055460578
31,968.054962697
32,1031.05451064
33,1096.05409895
34,1163.05372297
35,1232.05337869
36,1303.05306264
37,1376.05277182
38,1451.05250361
39,1528.05225574
40,1607.05202619
41,1688.05181321
42,1771.05161524
43,1856.0514309
44,1943.05125897
45,2032.05109836
46,2123.0509481
47,2216.05080731
48,2311.05067523
49,2408.05055114
50,2507.05043441
51,2608.05032447
52,2711.05022081
53,2816.05012296
54,2923.05003049
55,3032.04994301
56,3143.04986018
57,3256.04978166
58,3371.04970716
59,3488.04963642
60,3607.04956918
61,3728.04950522
62,3851.04944433
63,3976.04938632
64,4103.049331
65,4232.04927821
66,4363.0492278
67,4496.04917963
68,4631.04913357
69,4768.0490895
70,4907.0490473
71,5048.04900687
72,5191.04896811
73,5336.04893093
74,5483.04889525
75,5632.04886099
76,5783.04882807
77,5936.04879642
78,6091.04876598
79,6248.0487367
80,6407.0487085
81,6568.04868134
82,6731.04865516
83,6896.04862993
84,7063.04860559
85,7232.04858211
86,7403.04855944
87,7576.04853754
88,7751.04851639
89,7928.04849595
90,8107.04847618
91,8288.04845707
92,8471.04843857
93,8656.04842066
94,8843.04840333
95,9032.04838654
96,9223.04837027
97,9416.0483545
98,9611.04833921
99,9808.04832438
100,10007.04831
101,10208.048296
102,10411.0482825
103,10616.0482693
104,10823.0482565
105,11032.0482441
106,11243.0482321
107,11456.0482203
108,11671.0482089
109,11888.0481978
110,12107.048187
111,12328.0481765
112,12551.0481663
113,12776.0481563
114,13003.0481467
115,13232.0481372
116,13463.048128
117,13696.048119
118,13931.0481103
119,14168.0481018
120,14407.0480935
121,14648.0480854
122,14891.0480775
123,15136.0480698
124,15383.0480623
125,15632.0480549
126,15883.0480477
127,16136.0480407
128,16391.0480339
129,16648.0480272
130,16907.0480207
131,17168.0480143
132,17431.0480081
133,17696.048002
134,17963.047996
135,18232.0479902
136,18503.0479845
137,18776.0479789
138,19051.0479735
139,19328.0479682
140,19607.0479629
141,19888.0479578
142,20171.0479528
143,20456.0479479
144,20743.0479431
145,21032.0479384
146,21323.0479338
147,21616.0479293
148,21911.0479249
149,22208.0479206
150,22507.0479163
151,22808.0479122
152,23111.0479081
153,23416.0479041
154,23723.0479002
155,24032.0478963
156,24343.0478926
157,24656.0478889
158,24971.0478852
159,25288.0478817
160,25607.0478782
161,25928.0478748
162,26251.0478714
163,26576.0478681
164,26903.0478649
165,27232.0478617
166,27563.0478585
167,27896.0478555
168,28231.0478525
169,28568.0478494
170,28907.0478461
171,29248.0478443
172,29591.0478429
173,29936.0478374
174,30283.0478166
175,30632.0478736
176,30983.0477523
177,31336.0482463
178,31691.0458849
179,32048.0535918
180,32407.0288532
181,32768.1032656
182,33130.8663896
183,33496.4889221
184,33861.7457547
185,34234.7345643
186,34595.4990599
187,34988.4891544
188,35318.755552
189,35771.0062376
190,36018.471792
191,36601.3158675
192,36744.4636282
193,37495.7147109
194,37571.1890825
195,38463.8623061
196,38507.7498189
197,39510.6097807
198,39539.9320659
199,40639.9562256
200,40662.547141
201,41855.6833082
202,41874.7388754
203,43163.0271256
204,43180.442197
205,44567.356138
206,44583.7984214
207,46075.9653495
208,46092.0655351
209,47696.0821533
210,47711.9528574
211,49437.3136247
212,49453.2404736
213,51309.043885
214,51324.9988912
215,53323.6316084
216,53339.7840381
217,55493.1255638
218,55509.4077505
219,57833.3394891
220,57849.8742086
221,60359.754771
222,60376.4618068
223,63092.6776631
224,63109.6595055
225,66052.1351701
226,66069.3062017
227,69264.4210956
228,69281.8756474
229,72755.7126151
230,72773.3605813
231,76560.4504904
232,76578.3851177
233,80713.2983314
234,80731.4235722
235,85260.0047287
236,85278.4180843
237,90247.1799919
238,90265.7767145
239,95736.5966709
240,95755.4836814
241,101792.048381
242,101811.108259
243,108498.533666
244,108517.888813
245,115945.157127
246,115964.671861
247,124251.442933
248,124271.263236
249,133544.794511
250,133564.758375
251,143997.551389
252,144017.840141
253,155796.878667
254,155817.291893
255,169198.621284
256,169219.393845
257,184486.58252
258,184507.45674
259,202053.819888
260,202075.113819
261,222347.093451
262,222368.461429
263,245995.436232
264,246017.330446
265,273734.478732
266,273756.413124
267,306621.956255
268,306644.609682
269,345937.619015
270,345960.27109
271,393572.256627
272,393595.991471
273,451910.729301
274,451934.414677
275,524605.616414
276,524631.109931
277,616512.724417
278,616538.127844
279,735443.288059
280,735472.045955
281,892527.014766
282,892555.719982
283,1106965.8236
284,1107001.43993
285,1408897.67287
286,1408933.66101
287,1856158.55157
288,1856210.48196
289,2553878.51662
290,2553933.04765
291,3743432.85673
292,3743531.13422
293,5991641.72483
294,5991755.41935
295,11176568.8469
296,11176864.9324
297,27324894.7332
298,27325355.2106
299,157576563.577
300,157581378.15
