# Problem: paine (MBCDM, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 300, dofs = 300
# Computation time: 0.0234 s
n,lambda_n
1,4.89666937947
2,10.0451898924
3,16.019267249
4,23.2662709373
5,32.2637070413
6,43.2200196339
7,56.1815940136
8,71.152997525
9,88.1321191764
10,107.11667612
11,128.105021251
12,151.09604372
13,176.08899678
14,203.083371006
15,232.078811948
16,263.07506792
17,296.071956694
18,331.069343936
19,368.067128973
20,407.065235215
21,448.063603591
22,491.062187971
23,536.060951918
24,583.059866351
25,632.058907834
26,683.058057315
27,736.057299178
28,791.056620528
29,848.056010641
30,907.05546054
31,968.054962665
32,1031.05451062
33,1096.05409894
34,1163.05372297
35,1232.0533787
36,1303.05306266
37,1376.05277186
38,1451.05250367
39,1528.05225582
40,1607.05202629
41,1688.05181333
42,1771.05161539
43,1856.05143107
44,1943.05125917
45,2032.05109859
46,2123.05094836
47,2216.05080762
48,2311.05067557
49,2408.05055151
50,2507.05043483
51,2608.05032494
52,2711.05022132
53,2816.05012351
54,2923.05003109
55,3032.04994366
56,3143.04986088
57,3256.04978241
58,3371.04970797
59,3488.04963728
60,3607.0495701
61,3728.04950619
62,3851.04944536
63,3976.0493874
64,4103.04933214
65,4232.04927941
66,4363.04922905
67,4496.04918094
68,4631.04913494
69,4768.04909092
70,4907.04904877
71,5048.04900839
72,5191.04896968
73,5336.04893256
74,5483.04889692
75,5632.0488627
76,5783.04882982
77,5936.04879821
78,6091.0487678
79,6248.04873854
80,6407.04871036
81,6568.04868321
82,6731.04865705
83,6896.04863182
84,7063.04860747
85,7232.04858398
86,7403.04856129
87,7576.04853937
88,7751.04851818
89,7928.0484977
90,8107.04847787
91,8288.04845869
92,8471.04844012
93,8656.04842213
94,8843.04840469
95,9032.04838779
96,9223.04837139
97,9416.04835549
98,9611.04834005
99,9808.04832505
100,10007.0483105
101,10208.0482963
102,10411.0482826
103,10616.0482692
104,10823.0482562
105,11032.0482435
106,11243.0482311
107,11456.0482191
108,11671.0482074
109,11888.048196
110,12107.0481848
111,12328.048174
112,12551.0481633
113,12776.048153
114,13003.0481429
115,13232.048133
116,13463.0481234
117,13696.0481139
118,13931.0481047
119,14168.0480957
120,14407.0480868
121,14648.0480782
122,14891.0480697
123,15136.0480614
124,15383.0480533
125,15632.0480454
126,15883.0480376
127,16136.04803
128,16391.0480225
129,16648.0480152
130,16907.0480081
131,17168.048001
132,17431.0479941
133,17696.0479874
134,17963.0479808
135,18232.0479743
136,18503.047968
137,18776.0479618
138,19051.0479557
139,19328.0479497
140,19607.0479439
141,19888.0479382
142,20171.0479327
143,20456.0479273
144,20743.047922
145,21032.0479169
146,21323.0479119
147,21616.047907
148,21911.0479023
149,22208.0478977
150,22507.0478933
151,22808.047889
152,23111.047885
153,23416.047881
154,23723.0478772
155,24032.0478736
156,24343.0478702
157,24656.0478669
158,24971.0478639
159,25288.047861
160,25607.0478584
161,25928.0478559
162,26251.0478537
163,26576.0478517
164,26903.0478499
165,27232.0478484
166,27563.0478471
167,27896.0478461
168,28231.0478454
169,28568.0478449
170,28907.0478448
171,29248.0478449
172,29591.0478454
173,29936.0478462
174,30283.0478473
175,30632.0478488
176,30983.0478506
177,31336.0478528
178,31691.0478554
179,32048.0478584
180,32407.0478618
181,32768.0478657
182,33131.0478699
183,33496.0478746
184,33863.0478797
185,34232.0478855
186,34603.0478915
187,34976.0478982
188,35351.0479052
189,35728.047913
190,36107.0479209
191,36488.0479298
192,36871.0479387
193,37256.0479487
194,37643.0479587
195,38032.0479698
196,38423.0479808
197,38816.047993
198,39211.048005
199,39608.0480183
200,40007.0480313
201,40408.0480456
202,40811.0480595
203,41216.0480748
204,41623.0480895
205,42032.0481056
206,42443.0481209
207,42856.0481377
208,43271.0481535
209,43688.0481708
210,44107.0481868
211,44528.0482042
212,44951.04822
213,45376.0482372
214,45803.0482525
215,46232.048269
216,46663.0482831
217,47096.0482984
218,47531.0483107
219,47968.0483239
220,48407.0483336
221,48848.0483438
222,49291.0483499
223,49736.0483559
224,50183.0483571
225,50632.0483577
226,51083.0483525
227,51536.0483458
228,51991.0483324
229,52448.0483165
230,52907.0482927
231,53368.048265
232,53831.0482282
233,54296.0481858
234,54763.0481328
235,55232.0480722
236,55703.0479995
237,56176.0479163
238,56651.0478195
239,57128.0477089
240,57607.0475829
241,58088.0474391
242,58571.047278
243,59056.0470942
244,59543.0468913
245,60032.0466598
246,60523.0464077
247,61016.0461198
248,61511.0458101
249,62008.0454564
250,62507.0450806
251,63008.044651
252,63511.0442005
253,64016.0436852
254,64523.0431531
255,65032.0425438
256,65543.0419261
257,66056.0412184
258,66571.0405181
259,67088.0397154
260,67607.0389482
261,68128.0380688
262,68651.0372731
263,69176.0363625
264,69703.035617
265,70232.0347687
266,70763.0342229
267,71296.0336147
268,71831.033542
269,72368.0335012
270,72907.0343954
271,73448.0355162
272,73991.0382684
273,74536.0416298
274,75083.0478669
275,75632.0554529
276,76183.0682079
277,76736.0837484
278,77291.1088601
279,77848.1396089
280,78407.188836
281,78968.2495822
282,79531.3481281
283,80096.4710612
284,80663.6778724
285,81232.9397683
286,81804.4114191
287,82378.021513
288,82954.2666578
289,83532.928781
290,84116.3656713
291,84703.6220302
292,85350.7399013
293,87193.4707232
294,87304.4417749
295,103887.294131
296,103914.865153
297,174161.355383
298,174184.910234
299,781281.34289
300,781316.670278
