# Problem: paine (DST, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 100, dofs = 100
# Computation time: 0.0071 s
n,lambda_n
1,4.89666940308
2,10.0451899088
3,16.0192670821
4,23.2662701918
5,32.2637053393
6,43.220016704
7,56.1815896253
8,71.152991453
9,88.1321111925
10,107.116665991
11,128.10500874
12,151.096028584
13,176.08897877
14,203.083349868
15,232.078787421
16,263.075039737
17,296.071924579
18,331.069307606
19,368.067088136
20,407.065189569
21,448.063552823
22,491.062131759
23,536.060889927
24,583.059798233
25,632.058833227
26,683.057975842
27,736.057210446
28,791.056524127
29,848.055906141
30,907.055347493
31,968.0548406
32,1031.05437904
33,1096.05395733
34,1163.05357078
35,1232.05321536
36,1303.05288756
37,1376.05258435
38,1451.05230308
39,1528.05204142
40,1607.05179733
41,1688.05156899
42,1771.05135481
43,1856.05115334
44,1943.0509633
45,2032.05078354
46,2123.05061301
47,2216.05045077
48,2311.05029594
49,2408.05014772
50,2507.05000539
51,2608.04986825
52,2711.04973566
53,2816.049607
54,2923.0494817
55,3032.0493592
56,3143.04923895
57,3256.04912041
58,3371.04900304
59,3488.04888632
60,3607.04876968
61,3728.04865255
62,3851.04853436
63,3976.04841445
64,4103.04829217
65,4232.04816678
66,4363.04803748
67,4496.04790338
68,4631.04776351
69,4768.04761675
70,4907.04746183
71,5048.04729729
72,5191.04712146
73,5336.04693237
74,5483.04672772
75,5632.04650476
76,5783.04626022
77,5936.04599017
78,6091.04568981
79,6248.04535325
80,6407.0449732
81,6568.04454053
82,6731.04404367
83,6896.04346778
84,7063.0427936
85,7232.0419957
86,7403.04103997
87,7576.03987983
88,7751.03845028
89,7928.03665839
90,8107.03436762
91,8288.03137067
92,8471.02734047
93,8656.02173648
94,8843.01361282
95,9032.00119076
96,9222.98079542
97,9415.9437986
98,9610.86578992
99,9807.65376879
100,10005.689111
