# Problem: paine (FD, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 100, dofs = 100
# Computation time: 0.0008 s
n,lambda_n
1,4.89621795222
2,10.0424862164
3,16.0107070129
4,23.2437311391
5,32.2116704031
6,43.1140774548
7,55.9867907427
8,70.8219251513
9,87.6030060654
10,106.311502207
11,126.927654978
12,149.430398701
13,173.797208613
14,200.00399547
15,228.025046172
16,257.832996138
17,289.398822279
18,322.691849343
19,357.679765242
20,394.328642645
21,432.602965163
22,472.465657077
23,513.878115913
24,556.800247417
25,601.190502608
26,647.005916684
27,694.202149625
28,742.733528359
29,792.553090382
30,843.612628761
31,895.862738424
32,949.252863698
33,1003.731347
34,1059.24547863
35,1115.74154766
36,1173.16489374
37,1231.45995992
38,1290.5703463
39,1350.43886455
40,1411.00759318
41,1472.21793349
42,1534.0106663
43,1596.32600912
44,1659.10367405
45,1722.28292597
46,1785.8026414
47,1849.6013675
48,1913.61738157
49,1977.78875074
50,2042.05339182
51,2106.34913142
52,2170.61376603
53,2234.78512219
54,2298.80111663
55,2362.59981632
56,2426.11949835
57,2489.29870965
58,2552.07632636
59,2614.39161303
60,2676.18428124
61,2737.394548
62,2797.96319344
63,2857.83161816
64,2916.94189977
65,2975.23684895
66,3032.66006464
67,3089.15598853
68,3144.66995871
69,3199.14826243
70,3252.53818786
71,3304.78807493
72,3355.84736504
73,3405.66664968
74,3454.19771782
75,3501.39360211
76,3547.20862363
77,3591.59843536
78,3634.52006398
79,3675.93195011
80,3715.79398669
81,3754.06755536
82,3790.71556047
83,3825.70246039
84,3858.99429545
85,3890.55871158
86,3920.36497825
87,3948.38399824
88,3974.5883056
89,3998.95204488
90,4021.45092002
91,4042.06209097
92,4060.76397536
93,4077.53586772
94,4092.35718224
95,4105.2058508
96,4116.05460246
97,4124.86107454
98,4131.53750232
99,4136.21238337
100,4142.51419463
