# Problem: paine (LGCC, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 100, dofs = 100
# Computation time: 0.6929 s
n,lambda_n
1,4.89666937997
2,10.0451898933
3,16.0192672505
4,23.26627094
5,32.2637070458
6,43.2200196405
7,56.1815940228
8,71.1529975371
9,88.1321191915
10,107.116676138
11,128.105021273
12,151.096043746
13,176.088996809
14,203.083371039
15,232.078811985
16,263.07506796
17,296.071956737
18,331.069343983
19,368.067129023
20,407.065235267
21,448.063603645
22,491.062188027
23,536.060951975
24,583.059866408
25,632.05890789
26,683.058057369
27,736.05729923
28,791.056620577
29,848.056010685
30,907.055460578
31,968.054962697
32,1031.05451064
33,1096.05409895
34,1163.05372297
35,1232.05337869
36,1303.05306264
37,1376.05277182
38,1451.05250361
39,1528.05225574
40,1607.05202619
41,1688.05181321
42,1771.05161524
43,1856.0514309
44,1943.05125897
45,2032.05109836
46,2123.0509481
47,2216.05080731
48,2311.05067523
49,2408.05055114
50,2507.05043441
51,2608.05032451
52,2711.05022093
53,2816.05012716
54,2923.05004104
55,3032.05020905
56,3143.05044843
57,3256.0598251
58,3371.06932595
59,3488.26979132
60,3607.42880957
61,3730.72130028
62,3855.093179
63,3993.5122291
64,4126.50711798
65,4298.4242725
66,4444.6523104
67,4668.54350902
68,4831.62687871
69,5123.04671983
70,5306.19916893
71,5683.09070824
72,5890.16778258
73,6377.34819744
74,6613.40527343
75,7246.52892917
76,7518.32089162
77,8349.56612078
78,8666.25895421
79,9773.80137415
80,10148.0928402
81,11652.6859651
82,12102.6392928
83,14198.0200591
84,14750.190691
85,17762.0772785
86,18457.1267279
87,22965.9630461
88,23869.4079505
89,30989.1050383
90,32213.6456578
91,44300.4796663
92,46057.5749896
93,68810.9587634
94,71548.4875207
95,121771.552397
96,126627.37278
97,273094.436429
98,284002.625414
99,1090248.88244
100,1133840.06742
