# Problem: paine (Numerov, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 300, dofs = 300
# Computation time: 0.0550 s
n,lambda_n
1,4.8966693791
2,10.04518988
3,16.0192671798
4,23.2662706657
5,32.2637061536
6,43.2200171552
7,56.1815879571
8,71.1529842442
9,88.1320924869
10,107.116626152
11,128.104933
12,151.095895257
13,176.088757085
14,203.082997392
15,232.07824704
16,263.074236139
17,296.070760236
18,331.067658179
19,368.064797301
20,407.062063204
21,448.059352534
22,491.056567691
23,536.053612848
24,583.050390822
25,632.046800559
26,683.042735011
27,736.038079294
28,791.032709047
29,848.026488908
30,907.019271084
31,968.010893973
32,1031.00118082
33,1095.98993839
34,1162.97695561
35,1231.96200229
36,1302.94482772
37,1375.9251593
38,1450.90270118
39,1527.8771328
40,1606.84810747
41,1687.81525082
42,1770.77815935
43,1855.73639882
44,1942.68950268
45,2031.6369704
46,2122.57826583
47,2215.51281547
48,2310.4400067
49,2407.359186
50,2506.26965712
51,2607.17067913
52,2710.06146458
53,2814.94117747
54,2921.80893126
55,3030.66378679
56,3141.5047502
57,3254.33077076
58,3369.14073869
59,3485.93348289
60,3604.70776869
61,3725.4622955
62,3848.1956944
63,3972.90652576
64,4099.59327674
65,4228.25435875
66,4358.88810491
67,4491.49276742
68,4626.06651487
69,4762.60742956
70,4901.11350469
71,5041.5826416
72,5184.01264685
73,5328.40122936
74,5474.74599741
75,5623.04445563
76,5773.29400195
77,5925.4919245
78,6079.63539843
79,6235.72148268
80,6393.74711678
81,6553.70911747
82,6715.60417537
83,6879.42885159
84,7045.17957423
85,7212.85263488
86,7382.44418507
87,7553.95023265
88,7727.36663816
89,7902.68911105
90,8079.913206
91,8259.03431907
92,8440.04768386
93,8622.9483676
94,8807.7312672
95,8994.39110524
96,9182.92242597
97,9373.31959115
98,9565.57677597
99,9759.68796484
100,9955.64694717
101,10153.4473131
102,10353.0824492
103,10554.5455339
104,10757.8295337
105,10962.927198
106,11169.8310549
107,11378.5334069
108,11589.026326
109,11801.3016495
110,12015.3509748
111,12231.1656553
112,12448.7367954
113,12668.0552459
114,12889.1115991
115,13111.8961842
116,13336.3990622
117,13562.6100214
118,13790.5185723
119,14020.1139429
120,14251.3850733
121,14484.3206117
122,14718.9089084
123,14955.1380117
124,15192.9956622
125,15432.4692886
126,15673.5460021
127,15916.2125914
128,16160.4555183
129,16406.2609121
130,16653.6145648
131,16902.5019262
132,17152.9080988
133,17404.8178329
134,17658.2155217
135,17913.0851961
136,18169.4105203
137,18427.1747861
138,18686.3609091
139,18946.9514228
140,19208.9284745
141,19472.2738205
142,19736.9688208
143,20002.9944352
144,20270.3312183
145,20538.9593148
146,20808.8584553
147,21080.0079518
148,21352.3866931
149,21625.9731407
150,21900.7453247
151,22176.6808395
152,22453.7568395
153,22731.9500357
154,23011.2366914
155,23291.5926188
156,23572.9931749
157,23855.4132585
158,24138.8273063
159,24423.2092899
160,24708.5327126
161,24994.7706064
162,25281.895529
163,25569.8795611
164,25858.6943042
165,26148.3108774
166,26438.6999161
167,26729.831569
168,27021.6754971
169,27314.2008712
170,27607.3763709
171,27901.1701832
172,28195.5500011
173,28490.483023
174,28785.9359521
175,29081.8749954
176,29378.2658643
177,29675.0737738
178,29972.2634432
179,30269.7990967
180,30567.6444637
181,30865.7627804
182,31164.1167906
183,31462.6687476
184,31761.380416
185,32060.2130737
186,32359.1275145
187,32658.0840508
188,32957.0425167
189,33255.9622712
190,33554.8022023
191,33853.5207305
192,34152.0758136
193,34450.4249509
194,34748.525189
195,35046.3331262
196,35343.8049192
197,35640.8962884
198,35937.5625249
199,36233.7584971
200,36529.4386579
201,36824.5570522
202,37119.0673252
203,37412.9227303
204,37706.0761381
205,37998.4800453
206,38290.0865844
207,38580.8475335
208,38870.7143268
209,39159.6380648
210,39447.569526
211,39734.4591778
212,40020.2571889
213,40304.9134413
214,40588.3775431
215,40870.5988416
216,41151.5264366
217,41431.1091946
218,41709.2957629
219,41986.0345844
220,42261.2739124
221,42534.9618265
222,42807.0462479
223,43077.4749562
224,43346.1956056
225,43613.1557419
226,43878.30282
227,44141.5842215
228,44402.9472727
229,44662.3392631
230,44919.7074639
231,45174.9991474
232,45428.1616058
233,45679.1421716
234,45927.8882369
235,46174.3472742
236,46418.4668565
237,46660.1946784
238,46899.4785771
239,47136.2665534
240,47370.5067938
241,47602.1476918
242,47831.13787
243,48057.4262021
244,48280.9618355
245,48501.6942134
246,48719.5730976
247,48934.5485914
248,49146.5711619
249,49355.5916635
250,49561.5613604
251,49764.4319501
252,49964.155586
253,50160.684901
254,50353.9730302
255,50543.9736341
256,50730.6409216
257,50913.9296731
258,51093.7952632
259,51270.1936836
260,51443.0815658
261,51612.4162033
262,51778.1555745
263,51940.2583641
264,52098.683986
265,52253.3926041
266,52404.3451543
267,52551.5033657
268,52694.8297811
269,52834.287778
270,52969.8415886
271,53101.4563197
272,53229.0979722
273,53352.7334599
274,53472.3306285
275,53587.8582735
276,53699.2861575
277,53806.5850275
278,53909.7266316
279,54008.6837338
280,54103.4301298
281,54193.9406608
282,54280.1912261
283,54362.1587954
284,54439.8214184
285,54513.1582332
286,54582.1494709
287,54646.776456
288,54707.0216009
289,54762.868389
290,54814.3013408
291,54861.3059492
292,54903.8685594
293,54941.97614
294,54975.6158311
295,55004.7739971
296,55029.4340653
297,55049.5709898
298,55065.134283
299,55075.9855223
300,55083.9117495
