# Problem: paine (Numerov+AC, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 300, dofs = 300
# Computation time: 0.0545 s
n,lambda_n
1,4.89666937915
2,10.0451898831
3,16.0192672159
4,23.2662708683
5,32.2637069263
6,43.2200194625
7,56.1815937754
8,71.1529972095
9,88.1321187732
10,107.116675618
11,128.105020641
12,151.09604299
13,176.08899592
14,203.083370005
15,232.078810796
16,263.075066605
17,296.071955205
18,331.069342263
19,368.067127104
20,407.065233138
21,448.063601295
22,491.062185445
23,536.060949151
24,583.05986333
25,632.058904547
26,683.05805375
27,736.057295324
28,791.056616372
29,848.05600617
30,907.055455743
31,968.054957529
32,1031.05450513
33,1096.05409308
34,1163.05371674
35,1232.05337208
36,1303.05305563
37,1376.05276441
38,1451.05249579
39,1528.05224749
40,1607.05201751
41,1688.05180408
42,1771.05160565
43,1856.05142084
44,1943.05124842
45,2032.05108731
46,2123.05093654
47,2216.05079523
48,2311.05066261
49,2408.05053797
50,2507.05042069
51,2608.05031018
52,2711.05020593
53,2816.05010748
54,2923.0500144
55,3032.0499263
56,3143.04984282
57,3256.04976365
58,3371.04968849
59,3488.04961707
60,3607.04954914
61,3728.04948448
62,3851.04942286
63,3976.04936411
64,4103.04930804
65,4232.04925449
66,4363.04920331
67,4496.04915435
68,4631.04910748
69,4768.04906258
70,4907.04901955
71,5048.04897826
72,5191.04893864
73,5336.04890058
74,5483.048864
75,5632.04882882
76,5783.04879497
77,5936.04876237
78,6091.04873097
79,6248.0487007
80,6407.0486715
81,6568.04864333
82,6731.04861612
83,6896.04858983
84,7063.04856443
85,7232.04853986
86,7403.04851608
87,7576.04849306
88,7751.04847077
89,7928.04844917
90,8107.04842822
91,8288.0484079
92,8471.04838818
93,8656.04836904
94,8843.04835044
95,9032.04833237
96,9223.04831479
97,9416.0482977
98,9611.04828106
99,9808.04826486
100,10007.0482491
101,10208.0482337
102,10411.0482187
103,10616.0482041
104,10823.0481898
105,11032.0481759
106,11243.0481623
107,11456.048149
108,11671.048136
109,11888.0481233
110,12107.0481109
111,12328.0480987
112,12551.0480868
113,12776.0480751
114,13003.0480637
115,13232.0480524
116,13463.0480414
117,13696.0480306
118,13931.04802
119,14168.0480096
120,14407.0479994
121,14648.0479893
122,14891.0479794
123,15136.0479696
124,15383.04796
125,15632.0479506
126,15883.0479413
127,16136.0479321
128,16391.047923
129,16648.0479141
130,16907.0479053
131,17168.0478965
132,17431.0478879
133,17696.0478794
134,17963.047871
135,18232.0478627
136,18503.0478544
137,18776.0478462
138,19051.0478381
139,19328.0478301
140,19607.0478221
141,19888.0478142
142,20171.0478063
143,20456.0477985
144,20743.0477908
145,21032.0477831
146,21323.0477754
147,21616.0477677
148,21911.0477601
149,22208.0477526
150,22507.047745
151,22808.0477374
152,23111.0477299
153,23416.0477224
154,23723.0477149
155,24032.0477074
156,24343.0476999
157,24656.0476923
158,24971.0476848
159,25288.0476773
160,25607.0476697
161,25928.0476622
162,26251.0476546
163,26576.0476469
164,26903.0476393
165,27232.0476316
166,27563.0476238
167,27896.047616
168,28231.0476082
169,28568.0476003
170,28907.0475924
171,29248.0475843
172,29591.0475763
173,29936.0475681
174,30283.0475599
175,30632.0475515
176,30983.0475431
177,31336.0475346
178,31691.047526
179,32048.0475173
180,32407.0475085
181,32768.0474996
182,33131.0474905
183,33496.0474813
184,33863.047472
185,34232.0474625
186,34603.0474529
187,34976.0474431
188,35351.0474332
189,35728.0474231
190,36107.0474128
191,36488.0474023
192,36871.0473916
193,37256.0473807
194,37643.0473696
195,38032.0473583
196,38423.0473467
197,38816.0473349
198,39211.0473228
199,39608.0473104
200,40007.0472978
201,40408.0472848
202,40811.0472715
203,41216.047258
204,41623.047244
205,42032.0472297
206,42443.0472151
207,42856.0472
208,43271.0471846
209,43688.0471687
210,44107.0471523
211,44528.0471355
212,44951.0471182
213,45376.0471003
214,45803.047082
215,46232.047063
216,46663.0470435
217,47096.0470233
218,47531.0470024
219,47968.0469809
220,48407.0469586
221,48848.0469356
222,49291.0469117
223,49736.046887
224,50183.0468614
225,50632.0468348
226,51083.0468072
227,51536.0467786
228,51991.0467489
229,52448.046718
230,52907.0466858
231,53368.0466523
232,53831.0466174
233,54296.046581
234,54763.0465431
235,55232.0465034
236,55703.046462
237,56176.0464187
238,56651.0463734
239,57128.046326
240,57607.0462762
241,58088.0462241
242,58571.0461693
243,59056.0461117
244,59543.0460511
245,60032.0459873
246,60523.0459201
247,61016.0458491
248,61511.0457742
249,62008.045695
250,62507.0456112
251,63008.0455223
252,63511.045428
253,64016.0453278
254,64523.0452213
255,65032.0451078
256,65543.0449867
257,66056.0448573
258,66571.0447189
259,67088.0445706
260,67607.0444114
261,68128.0442402
262,68651.0440558
263,69176.0438567
264,69703.0436414
265,70232.0434081
266,70763.0431546
267,71296.0428785
268,71831.0425772
269,72368.0422474
270,72907.0418854
271,73448.0414869
272,73991.0410467
273,74536.0405589
274,75083.0400165
275,75632.0394107
276,76183.0387315
277,76736.0379665
278,77291.0371007
279,77848.0361154
280,78407.0349878
281,78968.0336892
282,79531.0321833
283,80096.0304236
284,80663.02835
285,81232.0258835
286,81803.0229188
287,82376.0193131
288,82951.0148687
289,83528.0093062
290,84107.0022207
291,84687.9930076
292,85270.9807345
293,85855.9639043
294,86442.9399964
295,87031.9045129
296,87622.8488121
297,88215.7545669
298,88810.5767925
299,89407.1813503
300,90007.3583434
