# Problem: coffey_evans (FD, paper eigenvalues-head run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 1000, dofs = 1000
# Computation time: 0.0131 s
n,lambda_n
1,-0.00216789032245
2,117.935970681
3,231.639538259
4,231.655353549
5,231.655353549
6,340.842583475
7,445.213600438
8,445.241443739
9,445.241443985
10,544.323373114
11,637.574040403
12,637.619948376
13,637.630567658
14,724.117049201
15,800.702808769
16,802.36268157
17,804.138487929
18,868.816030824
19,909.370877248
20,925.837245572
21,951.678058933
22,992.316404516
23,1032.04667868
24,1073.14465949
25,1117.78806502
26,1165.25643236
27,1215.08557395
28,1267.26605894
29,1321.76560032
30,1378.5239744
31,1437.49764807
32,1498.65467429
33,1561.96845821
34,1627.4166915
35,1694.98067425
36,1764.64455394
37,1836.39475262
38,1910.21954385
39,1986.10872223
40,2064.05334143
41,2144.04550496
42,2226.07819739
43,2310.14514701
44,2396.24071304
45,2484.35979248
46,2574.49774255
47,2666.65031577
48,2760.81360533
49,2856.98399885
50,2955.15813905
51,3055.33289016
52,3157.50530917
53,3261.672621
54,3367.83219708
55,3475.98153678
56,3586.11825125
57,3698.24004932
58,3812.34472515
59,3928.43014741
60,4046.49424973
61,4166.53502234
62,4288.55050455
63,4412.53877826
64,4538.49796203
65,4666.42620592
66,4796.32168681
67,4928.18260426
68,5062.00717681
69,5197.79363863
70,5335.54023652
71,5475.24522722
72,5616.90687498
73,5760.5234494
74,5906.09322337
75,6053.61447136
76,6203.08546775
77,6354.50448536
78,6507.86979411
79,6663.17965981
80,6820.43234301
81,6979.62609806
82,7140.75917209
83,7303.82980425
84,7468.83622489
85,7635.77665486
86,7804.64930486
87,7975.45237484
88,8148.18405349
89,8322.84251769
90,8499.42593206
91,8677.93244855
92,8858.36020606
93,9040.70733005
94,9224.97193222
95,9411.15211021
96,9599.24594731
97,9789.25151223
98,9981.1668588
99,10174.9900258
100,10370.7190368
101,10568.3518997
102,10767.8866071
103,10969.3211355
104,11172.6534456
105,11377.881482
106,11585.0031731
107,11794.016431
108,12004.9191513
109,12217.709213
110,12432.3844787
111,12648.9427941
112,12867.3819882
113,13087.699873
114,13309.8942439
115,13533.9628789
116,13759.9035393
117,13987.7139691
118,14217.3918952
119,14448.9350274
120,14682.3410582
121,14917.607663
122,15154.7324997
123,15393.713209
124,15634.5474142
125,15877.2327215
126,16121.7667193
127,16368.146979
128,16616.3710544
129,16866.4364818
130,17118.3407803
131,17372.0814515
132,17627.6559793
133,17885.0618306
134,18144.2964544
135,18405.3572827
136,18668.2417296
137,18932.9471921
138,19199.4710495
139,19467.810664
140,19737.96338
141,20009.9265246
142,20283.6974076
143,20559.2733213
144,20836.6515406
145,21115.8293229
146,21396.8039086
147,21679.5725202
148,21964.1323633
149,22250.4806259
150,22538.6144789
151,22828.5310758
152,23120.2275526
153,23413.7010283
154,23708.9486047
155,24005.9673662
156,24304.7543799
157,24605.306696
158,24907.6213473
159,25211.6953495
160,25517.5257013
161,25825.1093841
162,26134.4433623
163,26445.5245833
164,26758.3499773
165,27072.9164577
166,27389.2209208
167,27707.2602459
168,28027.0312955
169,28348.5309149
170,28671.7559329
171,28996.7031611
172,29323.3693945
173,29651.7514112
174,29981.8459725
175,30313.649823
176,30647.1596905
177,30982.3722862
178,31319.2843046
179,31657.8924235
180,31998.1933041
181,32340.1835912
182,32683.8599129
183,33029.2188807
184,33376.2570898
185,33724.9711188
186,34075.35753
187,34427.4128692
188,34781.1336658
189,35136.5164331
190,35493.5576678
191,35852.2538506
192,36212.6014457
193,36574.5969014
194,36938.2366495
195,37303.517106
196,37670.4346706
197,38038.9857268
198,38409.1666425
199,38780.9737692
200,39154.4034425
201,39529.4519823
202,39906.1156923
203,40284.3908605
204,40664.2737591
205,41045.7606445
206,41428.8477572
207,41813.5313222
208,42199.8075486
209,42587.67263
210,42977.1227443
211,43368.154054
212,43760.7627058
213,44154.9448311
214,44550.6965457
215,44948.0139502
216,45346.8931295
217,45747.3301533
218,46149.3210761
219,46552.8619369
220,46957.9487597
221,47364.577553
222,47772.7443105
223,48182.4450105
224,48593.6756163
225,49006.4320761
226,49420.7103234
227,49836.5062763
228,50253.8158382
229,50672.6348977
230,51092.9593283
231,51514.7849889
232,51938.1077235
233,52362.9233616
234,52789.2277177
235,53217.016592
236,53646.2857697
237,54077.0310218
238,54509.2481045
239,54942.9327598
