# Problem: coffey_evans (Numerov, paper eigenvalues-head run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 1000, dofs = 1000
# Computation time: 2.4427 s
n,lambda_n
1,-1.61204301523e-07
2,117.94630661
3,231.664925837
4,231.664928373
5,231.664928376
6,340.888291789
7,445.283078529
8,445.283165279
9,445.283244164
10,544.418361276
11,637.682222638
12,637.704342111
13,637.726475043
14,724.257636543
15,800.831270272
16,802.478763768
17,804.279258942
18,868.960169525
19,909.481006249
20,925.977259567
21,951.878730936
22,992.537209917
23,1032.30237929
24,1073.44990377
25,1118.14456929
26,1165.66783871
27,1215.55886903
28,1267.80845965
29,1322.3845731
30,1379.22764854
31,1438.29479673
32,1499.55468101
33,1562.9813354
34,1628.55310041
35,1696.25194137
36,1766.06268833
37,1837.97246397
38,1911.97026088
39,1988.0466113
40,2066.19332527
41,2146.40328153
42,2228.67025886
43,2312.98879872
44,2399.35409254
45,2487.7618886
46,2578.20841447
47,2670.69031211
48,2765.20458321
49,2861.74854298
50,2960.31978077
51,3060.91612655
52,3163.53562203
53,3268.1764959
54,3374.83714237
55,3483.51610257
56,3594.21204838
57,3706.92376828
58,3821.65015502
59,3938.39019473
60,4057.14295741
61,4177.90758843
62,4300.68330112
63,4425.46937015
64,4552.2651256
65,4681.06994781
66,4811.88326259
67,4944.70453716
68,5079.53327628
69,5216.36901899
70,5355.21133551
71,5496.05982456
72,5638.91411086
73,5783.77384293
74,5930.63869105
75,6079.50834545
76,6230.38251465
77,6383.26092394
78,6538.14331399
79,6695.02943962
80,6853.9190686
81,7014.81198068
82,7177.70796655
83,7342.60682698
84,7509.50837203
85,7678.41242026
86,7849.31879807
87,8022.22733906
88,8197.13788343
89,8374.05027745
90,8552.96437293
91,8733.88002679
92,8916.7971006
93,9101.71546019
94,9288.63497524
95,9477.55551898
96,9668.47696784
97,9861.39920112
98,10056.3221007
99,10253.2455509
100,10452.1694381
101,10653.0936503
102,10856.0180774
103,11060.9426106
104,11267.8671424
105,11476.7915661
106,11687.7157761
107,11900.6396674
108,12115.5631354
109,12332.486076
110,12551.4083853
111,12772.3299595
112,12995.2506945
113,13220.1704865
114,13447.0892309
115,13676.0068232
116,13906.9231578
117,14139.838129
118,14374.7516301
119,14611.6635535
120,14850.5737908
121,15091.4822327
122,15334.3887685
123,15579.2932864
124,15826.1956736
125,16075.0958154
126,16325.9935961
127,16578.8888984
128,16833.7816031
129,17090.6715898
130,17349.5587359
131,17610.4429172
132,17873.3240076
133,18138.2018791
134,18405.0764015
135,18673.9474426
136,18944.8148681
137,19217.6785414
138,19492.5383236
139,19769.3940734
140,20048.2456472
141,20329.092899
142,20611.9356799
143,20896.7738389
144,21183.6072218
145,21472.4356722
146,21763.2590305
147,22056.0771345
148,22350.8898191
149,22647.696916
150,22946.4982543
151,23247.2936596
152,23550.0829547
153,23854.865959
154,24161.6424887
155,24470.4123569
156,24781.1753729
157,25093.931343
158,25408.6800699
159,25725.4213527
160,26044.1549869
161,26364.8807644
162,26687.5984734
163,27012.3078984
164,27339.00882
165,27667.7010148
166,27998.3842557
167,28331.0583115
168,28665.7229469
169,29002.3779226
170,29341.022995
171,29681.6579164
172,30024.2824347
173,30368.8962936
174,30715.4992323
175,31064.0909854
176,31414.6712833
177,31767.2398516
178,32121.7964112
179,32478.3406786
180,32836.8723652
181,33197.3911777
182,33559.896818
183,33924.388983
184,34290.8673646
185,34659.3316495
186,35029.7815195
187,35402.2166511
188,35776.6367156
189,36153.0413787
190,36531.4303012
191,36911.8031382
192,37294.1595391
193,37678.4991481
194,38064.8216036
195,38453.1265382
196,38843.4135789
197,39235.6823468
198,39629.9324572
199,40026.1635192
200,40424.3751362
201,40824.5669052
202,41226.7384172
203,41630.889257
204,42037.0190031
205,42445.1272275
206,42855.2134959
207,43267.2773674
208,43681.3183948
209,44097.3361239
210,44515.3300939
211,44935.2998375
212,45357.2448801
213,45781.1647407
214,46207.0589307
215,46634.926955
216,47064.7683111
217,47496.5824894
218,47930.3689728
219,48366.1272371
220,48803.8567506
221,49243.5569741
222,49685.2273608
223,50128.8673564
224,50574.4763986
225,51022.0539176
226,51471.5993356
227,51923.1120668
228,52376.5915174
229,52832.0370857
230,53289.4481616
231,53748.8241268
232,54210.1643547
233,54673.4682103
234,55138.73505
235,55605.9642219
236,56075.1550652
237,56546.3069105
238,57019.4190795
239,57494.4908851
240,57971.5216313
241,58450.5106128
242,58931.4571155
243,59414.3604159
244,59899.2197811
245,60386.0344691
246,60874.8037283
247,61365.5267975
248,61858.202906
249,62352.8312732
250,62849.411109
251,63347.9416131
252,63848.4219754
253,64350.8513759
254,64855.2289841
255,65361.5539595
256,65869.8254513
257,66380.0425983
258,66892.2045286
259,67406.3103601
260,67922.3591996
261,68440.3501435
262,68960.2822773
263,69482.1546753
264,70005.9664011
265,70531.716507
266,71059.4040342
267,71589.0280124
268,72120.5874602
269,72654.0813846
270,73189.5087808
271,73726.8686327
272,74266.1599122
273,74807.3815793
274,75350.5325824
275,75895.6118574
276,76442.6183284
277,76991.550907
278,77542.4084927
279,78095.1899725
280,78649.8942207
281,79206.5200992
282,79765.0664571
283,80325.5321306
284,80887.9159432
285,81452.2167052
286,82018.4332137
287,82586.5642529
288,83156.6085933
289,83728.5649923
290,84302.4321937
291,84878.2089275
292,85455.8939102
293,86035.4858444
294,86616.9834187
295,87200.3853079
296,87785.6901724
297,88372.8966584
298,88962.0033981
299,89553.0090087
300,90145.9120934
301,90740.7112403
302,91337.4050231
303,91935.9920003
304,92536.4707157
305,93138.839698
306,93743.0974605
307,94349.2425014
308,94957.2733034
309,95567.1883338
310,96178.9860442
311,96792.6648705
312,97408.2232327
313,98025.6595349
314,98644.9721652
315,99266.1594955
316,99889.2198813
317,100514.151662
318,101140.95316
319,101769.622682
320,102400.158516
321,103032.558936
322,103666.822197
323,104302.946538
324,104940.93018
325,105580.771326
326,106222.468164
327,106866.018863
328,107511.421574
329,108158.674431
330,108807.775549
331,109458.723027
332,110111.514944
333,110766.149362
334,111422.624324
335,112080.937855
336,112741.087961
337,113403.072629
338,114066.889827
339,114732.537507
340,115400.013597
341,116069.316011
342,116740.442639
343,117413.391355
344,118088.160013
345,118764.746444
346,119443.148464
347,120123.363867
348,120805.390425
349,121489.225893
350,122174.868005
351,122862.314473
352,123551.562991
353,124242.611229
354,124935.456839
355,125630.097452
356,126326.530676
357,127024.7541
358,127724.765291
359,128426.561794
360,129130.141133
361,129835.500811
362,130542.638307
363,131251.551082
364,131962.23657
365,132674.692188
366,133388.915327
367,134104.903356
368,134822.653624
369,135542.163455
370,136263.430151
371,136986.45099
372,137711.22323
373,138437.744101
374,139166.010814
375,139896.020555
376,140627.770486
377,141361.257746
378,142096.479449
379,142833.432688
380,143572.114527
381,144312.522012
382,145054.652158
383,145798.501961
384,146544.06839
385,147291.348388
386,148040.338876
387,148791.036748
388,149543.438874
389,150297.542097
390,151053.343236
391,151810.839086
392,152570.026412
393,153330.901957
394,154093.462437
395,154857.704541
396,155623.624933
397,156391.22025
398,157160.487102
399,157931.422074
400,158704.021724
401,159478.28258
402,160254.201148
403,161031.773902
404,161810.997293
405,162591.867741
406,163374.381641
407,164158.535358
408,164944.325233
409,165731.747574
410,166520.798664
411,167311.474759
412,168103.772082
413,168897.686833
414,169693.215179
415,170490.35326
416,171289.097187
417,172089.443043
418,172891.38688
419,173694.924721
420,174500.052561
421,175306.766364
