# Problem: coffey_evans (Numerov+AC, paper eigenvalues-head run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 1000, dofs = 1000
# Computation time: 2.4324 s
n,lambda_n
1,-1.6120389712e-07
2,117.94630661
3,231.664925837
4,231.664928375
5,231.664928382
6,340.888291807
7,445.283078576
8,445.283165385
9,445.283244379
10,544.418361681
11,637.682223354
12,637.704343318
13,637.726476995
14,724.257639587
15,800.831274877
16,802.478770551
17,804.279268701
18,868.960183276
19,909.48102527
20,925.977285443
21,951.878765614
22,992.537255759
23,1032.30243915
24,1073.44998105
25,1118.14466801
26,1165.66796362
27,1215.55902569
28,1267.80865452
29,1322.38481364
30,1379.22794334
31,1438.29515564
32,1499.55511524
33,1562.9818577
34,1628.55372518
35,1696.25268485
36,1766.06356874
37,1837.97350172
38,1911.97147874
39,1988.0480346
40,2066.19498212
41,2146.40520303
42,2228.67247934
43,2312.99135598
44,2399.35702813
45,2487.76524807
46,2578.21224764
47,2670.69467338
48,2765.2095319
49,2861.75414358
50,2960.32610337
51,3060.9232471
52,3163.54362276
53,3268.1854657
54,3374.84717716
55,3483.52730572
56,3594.22453115
57,3706.93765025
58,3821.66556454
59,3938.40726943
60,4057.16184465
61,4177.92844585
62,4300.70629713
63,4425.49468449
64,4552.29294992
65,4681.10048623
66,4811.91673232
67,4944.74116908
68,5079.57331564
69,5216.41272602
70,5355.25898611
71,5496.11171101
72,5638.97054253
73,5783.83514702
74,5930.70521335
75,6079.58045115
76,6230.46058911
77,6383.34537352
78,6538.23456691
79,6695.12794683
80,6854.0253047
81,7014.92644479
82,7177.83118327
83,7342.73934739
84,7509.65077463
85,7678.56531202
86,7849.48281546
87,8022.4031491
88,8197.32618481
89,8374.25180161
90,8553.17988525
91,8734.11032771
92,8917.04302685
93,9101.97788599
94,9288.91481358
95,9477.85372287
96,9668.79453162
97,9861.73716181
98,10056.6815394
99,10253.627594
100,10452.5752589
101,10653.5244705
102,10856.4751685
103,11061.4272952
104,11268.380796
105,11477.3356187
106,11688.2917137
107,11901.2490335
108,12116.207533
109,12333.1671691
110,12552.1279005
111,12773.0896879
112,12996.0524938
113,13221.0162823
114,13447.981019
115,13676.946671
116,13907.9132069
117,14140.8805965
118,14375.8488111
119,14612.8178231
120,14851.7876058
121,15092.758134
122,15335.7293833
123,15580.7013303
124,15827.6739526
125,16076.6472286
126,16327.6211377
127,16580.5956599
128,16835.5707763
129,17092.5464684
130,17351.5227185
131,17612.4995098
132,17875.4768258
133,18140.4546507
134,18407.4329696
135,18676.4117677
136,18947.3910311
137,19220.3707461
138,19495.3508997
139,19772.3314794
140,20051.312473
141,20332.2938688
142,20615.2756555
143,20900.2578222
144,21187.2403583
145,21476.2232537
146,21767.2064987
147,22060.1900836
148,22355.1739994
149,22652.1582371
150,22951.1427882
151,23252.1276445
152,23555.1127979
153,23860.0982407
154,24167.0839653
155,24476.0699646
156,24787.0562315
157,25100.0427591
158,25415.0295409
159,25732.0165706
160,26051.0038419
161,26371.9913489
162,26694.9790856
163,27019.9670466
164,27346.9552264
165,27675.9436196
166,28006.9322212
167,28339.921026
168,28674.9100294
169,29011.8992267
170,29350.8886132
171,29691.8781845
172,30034.8679364
173,30379.8578647
174,30726.8479653
175,31075.8382344
176,31426.828668
177,31779.8192625
178,32134.8100142
179,32491.8009197
180,32850.7919756
181,33211.7831784
182,33574.7745251
183,33939.7660124
184,34306.7576373
185,34675.7493968
186,35046.741288
187,35419.7333082
188,35794.7254546
189,36171.7177244
190,36550.7101152
191,36931.7026243
192,37314.6952493
193,37699.6879879
194,38086.6808376
195,38475.6737962
196,38866.6668615
197,39259.6600313
198,39654.6533035
199,40051.646676
200,40450.6401468
201,40851.633714
202,41254.6273757
203,41659.62113
204,42066.614975
205,42475.6089091
206,42886.6029304
207,43299.5970374
208,43714.5912283
209,44131.5855015
210,44550.5798555
211,44971.5742887
212,45394.5687997
213,45819.5633869
214,46246.558049
215,46675.5527845
216,47106.5475922
217,47539.5424706
218,47974.5374184
219,48411.5324345
220,48850.5275175
221,49291.5226662
222,49734.5178795
223,50179.5131562
224,50626.5084951
225,51075.5038952
226,51526.4993553
227,51979.4948745
228,52434.4904515
229,52891.4860856
230,53350.4817756
231,53811.4775205
232,54274.4733195
233,54739.4691716
234,55206.4650759
235,55675.4610314
236,56146.4570374
237,56619.453093
238,57094.4491973
239,57571.4453495
240,58050.4415488
241,58531.4377944
242,59014.4340856
243,59499.4304216
244,59986.4268017
245,60475.4232251
246,60966.4196911
247,61459.4161991
248,61954.4127483
249,62451.4093381
250,62950.4059679
251,63451.402637
252,63954.3993447
253,64459.3960905
254,64966.3928737
255,65475.3896938
256,65986.3865502
257,66499.3834423
258,67014.3803695
259,67531.3773314
260,68050.3743273
261,68571.3713568
262,69094.3684193
263,69619.3655143
264,70146.3626413
265,70675.3597999
266,71206.3569895
267,71739.3542097
268,72274.3514601
269,72811.3487401
270,73350.3460493
271,73891.3433874
272,74434.3407538
273,74979.3381481
274,75526.33557
275,76075.333019
276,76626.3304948
277,77179.3279969
278,77734.3255249
279,78291.3230786
280,78850.3206574
281,79411.3182611
282,79974.3158892
283,80539.3135415
284,81106.3112176
285,81675.3089172
286,82246.3066399
287,82819.3043853
288,83394.3021533
289,83971.2999434
290,84550.2977553
291,85131.2955888
292,85714.2934435
293,86299.2913192
294,86886.2892155
295,87475.2871322
296,88066.285069
297,88659.2830256
298,89254.2810018
299,89851.2789972
300,90450.2770116
301,91051.2750448
302,91654.2730965
303,92259.2711665
304,92866.2692544
305,93475.2673602
306,94086.2654834
307,94699.263624
308,95314.2617816
309,95931.259956
310,96550.2581471
311,97171.2563546
312,97794.2545782
313,98419.2528178
314,99046.2510732
315,99675.2493441
316,100306.24763
317,100939.245932
318,101574.244248
319,102211.242579
320,102850.240925
321,103491.239285
322,104134.23766
323,104779.236048
324,105426.23445
325,106075.232866
326,106726.231295
327,107379.229738
328,108034.228194
329,108691.226662
330,109350.225144
331,110011.223638
332,110674.222145
333,111339.220664
334,112006.219196
335,112675.217739
336,113346.216294
337,114019.214861
338,114694.21344
339,115371.21203
340,116050.210631
341,116731.209244
342,117414.207867
343,118099.206502
344,118786.205147
345,119475.203803
346,120166.202469
347,120859.201146
348,121554.199833
349,122251.19853
350,122950.197238
351,123651.195955
352,124354.194682
353,125059.193418
354,125766.192164
355,126475.19092
356,127186.189685
357,127899.188459
358,128614.187242
359,129331.186034
360,130050.184835
361,130771.183644
362,131494.182463
363,132219.18129
364,132946.180125
365,133675.178969
366,134406.177821
367,135139.176681
368,135874.175549
369,136611.174426
370,137350.17331
371,138091.172202
372,138834.171101
373,139579.170009
374,140326.168924
375,141075.167846
376,141826.166775
377,142579.165712
378,143334.164656
379,144091.163607
380,144850.162565
381,145611.16153
382,146374.160502
383,147139.159481
384,147906.158466
385,148675.157458
386,149446.156457
387,150219.155462
388,150994.154473
389,151771.153491
390,152550.152515
391,153331.151545
392,154114.150581
393,154899.149624
394,155686.148672
395,156475.147726
396,157266.146786
397,158059.145852
398,158854.144923
399,159651.144
400,160450.143083
401,161251.142171
402,162054.141264
403,162859.140363
404,163666.139468
405,164475.138577
406,165286.137692
407,166099.136811
408,166914.135936
409,167731.135066
410,168550.134201
411,169371.133341
412,170194.132485
413,171019.131635
414,171846.130789
415,172675.129948
416,173506.129111
417,174339.128279
418,175174.127451
419,176011.126628
420,176850.12581
421,177691.124995
422,178534.124185
423,179379.12338
424,180226.122578
425,181075.121781
426,181926.120987
427,182779.120198
428,183634.119413
429,184491.118632
430,185350.117855
431,186211.117081
432,187074.116312
433,187939.115546
434,188806.114784
435,189675.114025
436,190546.11327
437,191419.112519
438,192294.111772
439,193171.111028
440,194050.110287
441,194931.10955
442,195814.108816
443,196699.108086
444,197586.107359
445,198475.106635
446,199366.105914
447,200259.105197
448,201154.104482
449,202051.103771
450,202950.103063
451,203851.102358
452,204754.101656
453,205659.100957
454,206566.10026
455,207475.099567
456,208386.098876
457,209299.098189
458,210214.097504
459,211131.096821
460,212050.096142
461,212971.095465
462,213894.094791
463,214819.094119
464,215746.09345
465,216675.092783
466,217606.092119
467,218539.091458
468,219474.090798
469,220411.090141
470,221350.089487
471,222291.088835
472,223234.088185
473,224179.087537
474,225126.086891
475,226075.086248
476,227026.085607
477,227979.084968
478,228934.084331
479,229891.083696
480,230850.083063
481,231811.082432
482,232774.081804
483,233739.081177
484,234706.080551
485,235675.079928
486,236646.079307
487,237619.078687
488,238594.07807
489,239571.077454
490,240550.076839
491,241531.076227
492,242514.075616
493,243499.075006
494,244486.074399
495,245475.073792
496,246466.073188
497,247459.072585
498,248454.071983
499,249451.071383
500,250450.070784
501,251451.070187
502,252454.069591
503,253459.068996
504,254466.068403
505,255475.067811
506,256486.06722
