# Problem: paine (CDM, paper eigenvalues-head run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 1000, dofs = 1000
# Computation time: 0.2151 s
n,lambda_n
1,4.89666937996
2,10.0451898933
3,16.0192672505
4,23.2662709401
5,32.2637070458
6,43.2200196406
7,56.1815940229
8,71.1529975371
9,88.1321191916
10,107.116676138
11,128.105021273
12,151.096043746
13,176.088996809
14,203.083371039
15,232.078811985
16,263.07506796
17,296.071956737
18,331.069343983
19,368.067129023
20,407.065235267
21,448.063603645
22,491.062188027
23,536.060951975
24,583.059866408
25,632.05890789
26,683.05805737
27,736.05729923
28,791.056620577
29,848.056010685
30,907.055460578
31,968.054962697
32,1031.05451064
33,1096.05409895
34,1163.05372297
35,1232.05337869
36,1303.05306264
37,1376.05277182
38,1451.05250361
39,1528.05225574
40,1607.05202619
41,1688.05181321
42,1771.05161524
43,1856.0514309
44,1943.05125897
45,2032.05109836
46,2123.0509481
47,2216.05080731
48,2311.05067523
49,2408.05055114
50,2507.05043441
51,2608.05032447
52,2711.05022081
53,2816.05012296
54,2923.05003049
55,3032.04994301
56,3143.04986018
57,3256.04978166
58,3371.04970716
59,3488.04963642
60,3607.04956918
61,3728.04950522
62,3851.04944433
63,3976.04938632
64,4103.049331
65,4232.04927821
66,4363.0492278
67,4496.04917963
68,4631.04913357
69,4768.0490895
70,4907.0490473
71,5048.04900687
72,5191.04896811
73,5336.04893093
74,5483.04889525
75,5632.04886099
76,5783.04882807
77,5936.04879642
78,6091.04876598
79,6248.0487367
80,6407.0487085
81,6568.04868134
82,6731.04865516
83,6896.04862993
84,7063.04860559
85,7232.04858211
86,7403.04855944
87,7576.04853754
88,7751.04851639
89,7928.04849595
90,8107.04847618
91,8288.04845707
92,8471.04843857
93,8656.04842066
94,8843.04840333
95,9032.04838654
96,9223.04837027
97,9416.0483545
98,9611.04833921
99,9808.04832438
100,10007.04831
101,10208.048296
102,10411.0482825
103,10616.0482693
104,10823.0482565
105,11032.0482441
106,11243.0482321
107,11456.0482203
108,11671.0482089
109,11888.0481978
110,12107.048187
111,12328.0481765
112,12551.0481663
113,12776.0481563
114,13003.0481467
115,13232.0481372
116,13463.048128
117,13696.048119
118,13931.0481103
119,14168.0481018
120,14407.0480935
121,14648.0480854
122,14891.0480775
123,15136.0480698
124,15383.0480623
125,15632.0480549
126,15883.0480477
127,16136.0480407
128,16391.0480339
129,16648.0480272
130,16907.0480207
131,17168.0480143
132,17431.0480081
133,17696.048002
134,17963.047996
135,18232.0479902
136,18503.0479845
137,18776.0479789
138,19051.0479735
139,19328.0479682
140,19607.0479629
141,19888.0479578
142,20171.0479528
143,20456.0479479
144,20743.0479431
145,21032.0479384
146,21323.0479338
147,21616.0479293
148,21911.0479249
149,22208.0479206
150,22507.0479163
151,22808.0479122
152,23111.0479081
153,23416.0479041
154,23723.0479002
155,24032.0478963
156,24343.0478926
157,24656.0478889
158,24971.0478852
159,25288.0478817
160,25607.0478782
161,25928.0478748
162,26251.0478714
163,26576.0478681
164,26903.0478649
165,27232.0478617
166,27563.0478585
167,27896.0478555
168,28231.0478525
169,28568.0478495
170,28907.0478466
171,29248.0478437
172,29591.0478409
173,29936.0478382
174,30283.0478354
175,30632.0478328
176,30983.0478302
177,31336.0478276
178,31691.047825
179,32048.0478225
180,32407.0478201
181,32768.0478177
182,33131.0478153
183,33496.047813
184,33863.0478107
185,34232.0478084
186,34603.0478062
187,34976.047804
188,35351.0478019
189,35728.0477998
190,36107.0477977
191,36488.0477956
192,36871.0477936
193,37256.0477916
194,37643.0477897
195,38032.0477877
196,38423.0477858
197,38816.047784
198,39211.0477821
199,39608.0477803
200,40007.0477785
201,40408.0477768
202,40811.047775
203,41216.0477733
204,41623.0477717
205,42032.04777
206,42443.0477684
207,42856.0477668
208,43271.0477652
209,43688.0477636
210,44107.0477621
211,44528.0477605
212,44951.047759
213,45376.0477576
214,45803.0477561
215,46232.0477547
216,46663.0477533
217,47096.0477519
218,47531.0477505
219,47968.0477491
220,48407.0477478
221,48848.0477465
222,49291.0477452
223,49736.0477439
224,50183.0477426
225,50632.0477414
226,51083.0477401
227,51536.0477389
228,51991.0477377
229,52448.0477365
230,52907.0477353
