# Problem: paine (DST, paper eigenvalues-head run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 500, dofs = 500
# Computation time: 0.0289 s
n,lambda_n
1,4.89666938001
2,10.0451898933
3,16.0192672502
4,23.2662709388
5,32.263707043
6,43.2200196357
7,56.1815940156
8,71.1529975271
9,88.1321191785
10,107.116676122
11,128.105021253
12,151.096043721
13,176.08899678
14,203.083371005
15,232.078811946
16,263.075067915
17,296.071956686
18,331.069343926
19,368.067128959
20,407.065235196
21,448.063603566
22,491.06218794
23,536.06095188
24,583.059866304
25,632.058907778
26,683.058057248
27,736.057299099
28,791.056620435
29,848.056010533
30,907.055460416
31,968.054962523
32,1031.05451045
33,1096.05409875
34,1163.05372276
35,1232.05337847
36,1303.0530624
37,1376.05277157
38,1451.05250335
39,1528.05225546
40,1607.0520259
41,1688.0518129
42,1771.05161492
43,1856.05143056
44,1943.05125861
45,2032.05109799
46,2123.05094771
47,2216.05080691
48,2311.0506748
49,2408.05055069
50,2507.05043395
51,2608.050324
52,2711.05022032
53,2816.05012244
54,2923.05002995
55,3032.04994246
56,3143.0498596
57,3256.04978106
58,3371.04970654
59,3488.04963578
60,3607.04956852
61,3728.04950453
62,3851.04944362
63,3976.04938558
64,4103.04933023
65,4232.04927742
66,4363.04922699
67,4496.04917879
68,4631.04913271
69,4768.04908861
70,4907.04904638
71,5048.04900592
72,5191.04896714
73,5336.04892993
74,5483.04889422
75,5632.04885993
76,5783.04882698
77,5936.04879531
78,6091.04876484
79,6248.04873552
80,6407.04870729
81,6568.0486801
82,6731.04865389
83,6896.04862862
84,7063.04860425
85,7232.04858073
86,7403.04855803
87,7576.0485361
88,7751.04851492
89,7928.04849444
90,8107.04847464
91,8288.04845548
92,8471.04843695
93,8656.04841901
94,8843.04840163
95,9032.0483848
96,9223.04836849
97,9416.04835269
98,9611.04833736
99,9808.04832249
100,10007.0483081
101,10208.0482941
102,10411.0482805
103,10616.0482673
104,10823.0482544
105,11032.048242
106,11243.0482299
107,11456.0482181
108,11671.0482066
109,11888.0481955
110,12107.0481847
111,12328.0481741
112,12551.0481638
113,12776.0481538
114,13003.0481441
115,13232.0481346
116,13463.0481253
117,13696.0481163
118,13931.0481075
119,14168.048099
120,14407.0480906
121,14648.0480825
122,14891.0480745
123,15136.0480668
124,15383.0480592
125,15632.0480518
126,15883.0480445
127,16136.0480375
128,16391.0480306
129,16648.0480239
130,16907.0480173
131,17168.0480108
132,17431.0480045
133,17696.0479984
134,17963.0479924
135,18232.0479865
136,18503.0479807
137,18776.0479751
138,19051.0479696
139,19328.0479642
140,19607.0479589
