# Problem: paine (FD, paper eigenvalues-head run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 1000, dofs = 1000
# Computation time: 0.0144 s
n,lambda_n
1,4.89666478447
2,10.0451623736
3,16.0191801169
4,23.2660414436
5,32.2631770064
6,43.2189400621
7,56.1796080025
8,71.1496205213
9,88.1267190562
10,107.108453396
11,128.092989344
12,151.079009253
13,176.065539885
14,203.051825634
15,232.037246186
16,263.021264308
17,296.003392546
18,330.983171667
19,367.960156425
20,406.933905988
21,447.903977382
22,490.869920908
23,535.831276908
24,582.787573422
25,631.738324491
26,682.683028893
27,735.621169205
28,790.552211089
29,847.47560275
30,906.390774516
31,967.297138514
32,1030.19408842
33,1095.08099924
34,1161.95722719
35,1230.82210952
36,1301.67496446
37,1374.51509111
38,1449.34176938
39,1526.15425996
40,1604.95180424
41,1685.73362431
42,1768.49892292
43,1853.24688347
44,1939.97666997
45,2028.68742705
46,2119.37827995
47,2212.0483345
48,2306.69667713
49,2403.32237486
50,2501.9244753
51,2602.50200667
52,2705.05397777
53,2809.579378
54,2916.07717738
55,3024.54632652
56,3134.98575666
57,3247.39437967
58,3361.77108802
59,3478.11475487
60,3596.42423398
61,3716.69835979
62,3838.9359474
63,3963.1357926
64,4089.29667186
65,4217.41734232
66,4347.49654188
67,4479.53298912
68,4613.52538337
69,4749.4724047
70,4887.37271393
71,5027.22495264
72,5169.02774323
73,5312.77968885
74,5458.47937347
75,5606.1253619
76,5755.71619976
77,5907.25041353
78,6060.72651055
79,6216.14297903
80,6373.49828809
81,6532.79088774
82,6694.01920892
83,6857.18166349
84,7022.27664427
85,7189.30252507
86,7358.25766066
87,7529.1403868
88,7701.94902029
89,7876.68185895
90,8053.33718165
91,8231.91324832
92,8412.40829998
93,8594.82055875
94,8779.14822787
95,8965.3894917
96,9153.54251577
97,9343.60544676
98,9535.57641256
99,9729.45352226
100,9925.23486617
101,10122.9185158
102,10322.5025241
103,10523.9849251
104,10727.3637342
105,10932.6369481
106,11139.8025448
107,11348.858484
108,11559.8027062
109,11772.6331338
110,11987.3476704
111,12203.9442011
112,12422.4205923
113,12642.7746921
114,12865.0043301
115,13089.1073173
116,13315.0814463
117,13542.9244913
118,13772.634208
