# Problem: paine (Numerov, paper eigenvalues-head run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 1000, dofs = 1000
# Computation time: 2.3865 s
n,lambda_n
1,4.89666937996
2,10.0451898932
3,16.0192672499
4,23.2662709378
5,32.2637070385
6,43.2200196202
7,56.1815939733
8,71.1529974284
9,88.1321189733
10,107.11667573
11,128.105020552
12,151.096042532
13,176.088994851
14,203.083367986
15,232.07880737
16,263.075061166
17,296.071946966
18,331.069330218
19,368.067109986
20,407.065209374
21,448.063568949
22,491.062142163
23,536.060892096
24,583.059789112
25,632.058809145
26,683.057932427
27,736.057142538
28,791.056425678
29,848.055770111
30,907.055165736
31,968.054603746
32,1031.05407636
33,1096.0535766
34,1163.05309815
35,1232.05263516
36,1303.05218217
37,1376.051734
38,1451.05128569
39,1528.05083237
40,1607.05036927
41,1688.04989164
42,1771.04939468
43,1856.04887355
44,1943.04832329
45,2032.04773881
46,2123.04711484
47,2216.04644594
48,2311.04572644
49,2408.04495042
50,2507.0441117
51,2608.04320381
52,2711.04221996
53,2816.04115304
54,2923.03999558
55,3032.03873973
56,3143.03737727
57,3256.03589955
58,3371.03429749
59,3488.03256157
60,3607.03068178
61,3728.02864765
62,3851.02644816
63,3976.0240718
64,4103.0215065
65,4232.0187396
66,4363.01575788
67,4496.01254751
68,4631.00909401
69,4768.00538226
70,4907.00139648
71,5047.9971202
72,5190.99253622
73,5335.98762661
74,5482.9823727
75,5631.97675504
76,5782.97075336
77,5935.96434659
78,6090.9575128
79,6247.95022921
80,6406.94247212
81,6567.93421694
82,6730.92543814
83,6895.91610922
84,7062.90620268
85,7231.89569003
86,7402.88454172
87,7575.87272717
88,7750.86021467
89,7927.84697144
90,8106.83296351
91,8287.81815578
92,8470.80251195
93,8655.78599448
94,8842.7685646
95,9031.75018225
96,9222.73080608
97,9415.71039339
98,9610.68890013
99,9807.66628085
100,10006.6424887
101,10207.6174753
102,10410.591191
103,10615.5635843
104,10822.5346024
105,11031.504191
106,11242.472294
107,11455.4388537
108,11670.4038108
109,11887.3671043
110,12106.3286713
111,12327.2884475
112,12550.2463664
113,12775.20236
