# Problem: paine (Numerov+AC, paper eigenvalues-head run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 500, dofs = 500
# Computation time: 0.2688 s
n,lambda_n
1,4.89666937986
2,10.045189892
3,16.019267246
4,23.2662709307
5,32.2637070302
6,43.2200196173
7,56.1815939906
8,71.1529974944
9,88.1321191371
10,107.116676071
11,128.105021191
12,151.096043647
13,176.088996694
14,203.083370904
15,232.07881183
16,263.075067784
17,296.071956538
18,331.06934376
19,368.067128774
20,407.065234991
21,448.06360334
22,491.062187691
23,536.060951608
24,583.059866008
25,632.058907457
26,683.0580569
27,736.057298724
28,791.056620032
29,848.056010101
30,907.055459953
31,968.054962029
32,1031.05450993
33,1096.05409819
34,1163.05372217
35,1232.05337783
36,1303.05306173
37,1376.05277086
38,1451.0525026
39,1528.05225468
40,1607.05202507
41,1688.05181204
42,1771.05161401
43,1856.05142961
44,1943.05125761
45,2032.05109694
46,2123.05094662
47,2216.05080577
48,2311.05067361
49,2408.05054945
50,2507.05043266
51,2608.05032265
52,2711.05021892
53,2816.05012099
54,2923.05002844
55,3032.04994089
56,3143.04985797
57,3256.04977937
58,3371.04970479
59,3488.04963397
60,3607.04956665
61,3728.0495026
62,3851.04944162
63,3976.04938351
64,4103.0493281
65,4232.04927522
66,4363.04922472
67,4496.04917645
68,4631.04913029
69,4768.04908612
70,4907.04904382
71,5048.04900329
72,5191.04896443
73,5336.04892715
74,5483.04889136
75,5632.04885699
76,5783.04882396
77,5936.0487922
78,6091.04876165
79,6248.04873224
80,6407.04870393
81,6568.04867665
82,6731.04865036
83,6896.048625
84,7063.04860054
85,7232.04857693
86,7403.04855413
87,7576.04853211
88,7751.04851083
89,7928.04849025
90,8107.04847036
91,8288.0484511
92,8471.04843247
93,8656.04841443
94,8843.04839695
95,9032.04838002
96,9223.0483636
97,9416.04834769
98,9611.04833225
99,9808.04831727
100,10007.0483027
101,10208.0482886
102,10411.0482749
103,10616.0482616
104,10823.0482487
105,11032.0482361
106,11243.0482239
107,11456.048212
108,11671.0482004
109,11888.0481891
110,12107.0481782
111,12328.0481675
112,12551.0481571
113,12776.048147
114,13003.0481371
115,13232.0481275
116,13463.0481181
117,13696.0481089
118,13931.0481
119,14168.0480913
120,14407.0480828
121,14648.0480745
122,14891.0480664
123,15136.0480585
124,15383.0480508
125,15632.0480433
126,15883.0480359
127,16136.0480287
128,16391.0480216
129,16648.0480148
130,16907.048008
131,17168.0480014
132,17431.047995
133,17696.0479887
134,17963.0479825
135,18232.0479764
136,18503.0479705
137,18776.0479647
138,19051.047959
139,19328.0479535
140,19607.047948
141,19888.0479427
142,20171.0479374
143,20456.0479323
144,20743.0479273
145,21032.0479223
146,21323.0479175
147,21616.0479127
148,21911.047908
149,22208.0479035
150,22507.047899
151,22808.0478945
152,23111.0478902
153,23416.0478859
154,23723.0478818
155,24032.0478776
156,24343.0478736
157,24656.0478696
158,24971.0478657
159,25288.0478619
160,25607.0478581
161,25928.0478544
162,26251.0478507
163,26576.0478471
164,26903.0478436
165,27232.0478401
166,27563.0478367
167,27896.0478333
168,28231.04783
169,28568.0478267
170,28907.0478235
171,29248.0478203
172,29591.0478172
173,29936.0478141
174,30283.0478111
175,30632.0478081
176,30983.0478051
177,31336.0478022
178,31691.0477993
179,32048.0477965
180,32407.0477937
181,32768.0477909
182,33131.0477882
183,33496.0477855
184,33863.0477829
185,34232.0477802
186,34603.0477777
187,34976.0477751
